,Sample ID,,Sample,Region,RNA RIN,Conc. (ng/ul) from NanoChip,Mouse,Hemisphere,Weight Range (mg),Species,Location,,
Plate 01,A01,Pool 1,CB_468_R,CB,8.8,911,468,R,10-40mg,Mouse,"Orange_4.2_""Manuel_RNAseq_3/3/15""",,
Plate 01,B01,Pool 1,CB_441_R,CB,8.2,821,441,R,10-40mg,Mouse,"Orange_4.2_""Manuel_RNAseq_3/3/15""",,
Plate 01,C01,Pool 1,CB_466_R,CB,8.9,845,466,R,10-40mg,Mouse,"Orange_4.2_""Manuel_RNAseq_3/3/15""",,
Plate 01,D01,Pool 1,PFC_447_R,PFC,8.8,484,447,R,10-40mg,Mouse,"Orange_4.2_""Manuel_RNAseq_3/3/15""",,
Plate 01,E01,Pool 1,CB_465_L,CB,8.8,950,465,L,10-40mg,Mouse,"Orange_4.2_""Manuel_RNAseq_3/3/15""",,
Plate 01,F01,Pool 1,HP_468_R,HP,8.9,368,468,R,10-40mg,Mouse,"Orange_4.2_""Manuel_RNAseq_3/3/15""",,
Plate 01,G01,Pool 1,HP_441_L,HP,8.4,416,441,L,10-40mg,Mouse,"Orange_4.2_""Manuel_RNAseq_3/3/15""",,
Plate 01,H01,Pool 1,HP_442_L,HP,8.4,355,442,L,10-40mg,Mouse,"Orange_4.2_""Manuel_RNAseq_3/3/15""",,
Plate 01,A02,Pool 1,CB_455_R,CB,8.6,638,455,R,10-40mg,Mouse,"Orange_4.2_""Manuel_RNAseq_3/3/15""",,
Plate 01,B02,Pool 1,PFC_465_L,PFC,9.3,215,465,L,10-40mg,Mouse,"Orange_4.2_""Manuel_RNAseq_3/3/15""",,
Plate 01,C02,Pool 1,PFC_455_L,PFC,9,369,455,L,10-40mg,Mouse,"Orange_4.2_""Manuel_RNAseq_3/3/15""",,
Plate 01,D02,Pool 1,PFC_466_R,PFC,9.4,215,466,R,10-40mg,Mouse,"Orange_4.2_""Manuel_RNAseq_3/3/15""",,
Plate 01,E02,Pool 1,HP_466_L,HP,9,412,466,L,10-40mg,Mouse,"Orange_4.2_""Manuel_RNAseq_3/3/15""",,
Plate 01,F02,Pool 1,HP_455_R,HP,8.8,450,455,R,10-40mg,Mouse,"Orange_4.2_""Manuel_RNAseq_3/3/15""",,
Plate 01,G02,Pool 1,PFC_469_L,PFC,9,521,469,L,10-40mg,Mouse,"Orange_4.2_""Manuel_RNAseq_3/3/15""",,
Plate 01,H02,Pool 1,PFC_455_R,PFC,9.3,141,455,R,10-40mg,Mouse,"Orange_4.2_""Manuel_RNAseq_3/3/15""",,
Plate 01,A03,Pool 1,CB_447_L,CB,8.6,724,447,L,10-40mg,Mouse,"Orange_4.2_""Manuel_RNAseq_3/3/15""",,
Plate 01,B03,Pool 1,HP_469_R,HP,9.3,346,469,R,10-40mg,Mouse,"Orange_4.2_""Manuel_RNAseq_3/3/15""",,
Plate 01,C03,Pool 2,HP_465_R,HP,9,461,465,R,10-40mg,Mouse,"Orange_4.2_""Manuel_RNAseq_3/3/15""",,
Plate 01,D03,Pool 2,PFC_442_R,PFC,8.8,403,442,R,10-40mg,Mouse,"Orange_4.2_""Manuel_RNAseq_3/3/15""",,
Plate 01,E03,Pool 2,PFC_447_L,PFC,8.9,347,447,L,10-40mg,Mouse,"Orange_4.2_""Manuel_RNAseq_3/3/15""",,
Plate 01,F03,Pool 2,CB_469_R,CB,8.8,634,469,R,10-40mg,Mouse,"Orange_4.2_""Manuel_RNAseq_3/3/15""",,
Plate 01,G03,Pool 2,PFC_441_L,PFC,8.5,201,441,L,10-40mg,Mouse,"Orange_4.2_""Manuel_RNAseq_3/3/15""",,
Plate 01,H03,Pool 2,HP_466_R,HP,9,510,466,R,10-40mg,Mouse,"Orange_4.2_""Manuel_RNAseq_3/3/15""",,
Plate 01,A04,Pool 2,CB_465_R,CB,8.6,972,465,R,10-40mg,Mouse,"Orange_4.2_""Manuel_RNAseq_3/3/15""",,
Plate 01,B04,Pool 2,CB_468_L,CB,8.9,702,468,L,10-40mg,Mouse,"Orange_4.2_""Manuel_RNAseq_3/3/15""",,
Plate 01,C04,Pool 2,HP_420_L,HP,8.8,411,420,L,10-40mg,Mouse,"Orange_4.2_""Manuel_RNAseq_3/3/15""",,
Plate 01,D04,Pool 2,PFC_465_R,PFC,8.8,521,465,R,10-40mg,Mouse,"Orange_4.2_""Manuel_RNAseq_3/3/15""",,
Plate 01,E04,Pool 2,CB_447_R,CB,8.6,743,447,R,10-40mg,Mouse,"Orange_4.2_""Manuel_RNAseq_3/3/15""",,
Plate 01,F04,Pool 2,PFC_420_R,PFC,8.6,266,420,R,10-40mg,Mouse,"Orange_4.2_""Manuel_RNAseq_3/3/15""",,
Plate 01,G04,Pool 2,PFC_468_R,PFC,9,339,468,R,10-40mg,Mouse,"Orange_4.2_""Manuel_RNAseq_3/3/15""",,
Plate 01,H04,Pool 2,HP_469_L,HP,9.1,340,469,L,10-40mg,Mouse,"Orange_4.2_""Manuel_RNAseq_3/3/15""",,
Plate 01,A05,Pool 2,PFC_420_L,PFC,8.2,349,420,L,10-40mg,Mouse,"Orange_4.2_""Manuel_RNAseq_3/3/15""",,
Plate 01,B05,Pool 2,HP_468_L,HP,8.9,362,468,L,10-40mg,Mouse,"Orange_4.2_""Manuel_RNAseq_3/3/15""",,
Plate 01,C05,Pool 2,CB_442_L,CB,8.3,853,442,L,10-40mg,Mouse,"Orange_4.2_""Manuel_RNAseq_3/3/15""",,
Plate 01,D05,Pool 2,PFC_468_L,PFC,9,289,468,L,10-40mg,Mouse,"Orange_4.2_""Manuel_RNAseq_3/3/15""",,
Plate 01,E05,Pool 3,CB_442_R,CB,8.2,979,442,R,10-40mg,Mouse,"Orange_4.2_""Manuel_RNAseq_3/3/15""",,
Plate 01,F05,Pool 3,HP_447_L,HP,8.8,302,447,L,10-40mg,Mouse,"Orange_4.2_""Manuel_RNAseq_3/3/15""",,
