"","TOTAL_READS","PF_READS_ALIGNED","PF_HQ_ALIGNED_READS","PF_ALIGNED_BASES","CODING_BASES","UTR_BASES","INTRONIC_BASES","INTERGENIC_BASES","MEDIAN_CV_COVERAGE","MEDIAN_5PRIME_BIAS","MEDIAN_3PRIME_BIAS","MEDIAN_5PRIME_TO_3PRIME_BIAS","AT_DROPOUT","GC_DROPOUT"
"/u/home/g/gandalm/project-geschwind/TSC_MIA_Silva/data/STAR_bam/CB-420-L",33693599,33693599,30723831,4632678374,1205956615,1443338027,1728511000,254872732,0.439632,0.452593,0.75691,0.630143,22.52923,0.000611
"/u/home/g/gandalm/project-geschwind/TSC_MIA_Silva/data/STAR_bam/CB-420-R",31136436,31136436,28057602,4264519356,1041010796,1386796412,1518357506,318354642,0.457524,0.42075,0.728454,0.608224,27.358226,0.000951
"/u/home/g/gandalm/project-geschwind/TSC_MIA_Silva/data/STAR_bam/CB-441-L",38819587,38819587,34765040,5328576612,1447033518,1764698481,1777266307,339578306,0.456007,0.453273,0.730385,0.642217,27.256653,0.000348
"/u/home/g/gandalm/project-geschwind/TSC_MIA_Silva/data/STAR_bam/CB-441-R",41321345,41321345,37284303,5668395286,1445267410,1916731639,1912886734,393509503,0.472606,0.431856,0.740904,0.610641,25.976225,0.001359
"/u/home/g/gandalm/project-geschwind/TSC_MIA_Silva/data/STAR_bam/CB-442-L",39247546,39247546,34860677,5364888576,1326163165,1910532845,1672207981,455984585,0.479831,0.423944,0.711417,0.636384,30.3977,0.000823
"/u/home/g/gandalm/project-geschwind/TSC_MIA_Silva/data/STAR_bam/CB-442-R",31787800,31787800,28404109,4347116441,1030653117,1466219137,1488081896,362162291,0.47352,0.439309,0.72824,0.642893,29.994657,0.000404
"/u/home/g/gandalm/project-geschwind/TSC_MIA_Silva/data/STAR_bam/CB-447-L",40302809,40302809,36385249,5529529796,1469266549,1864303919,1822960246,372999082,0.456307,0.462825,0.741004,0.650104,26.573505,0.000797
"/u/home/g/gandalm/project-geschwind/TSC_MIA_Silva/data/STAR_bam/CB-447-R",37770418,37770418,34139623,5166666062,1256936565,1716790401,1775308975,417630121,0.476115,0.43075,0.713211,0.629406,28.151125,0.000599
"/u/home/g/gandalm/project-geschwind/TSC_MIA_Silva/data/STAR_bam/CB-455-L",34091327,34091327,30097788,4676364895,1268396682,1616258985,1479666969,312042259,0.457095,0.467667,0.7394,0.664097,30.513659,0.000479
"/u/home/g/gandalm/project-geschwind/TSC_MIA_Silva/data/STAR_bam/CB-455-R",40432297,40432297,36074922,5554566127,1502883958,1918774734,1807360263,325547172,0.452491,0.452806,0.753949,0.651204,26.876384,0.000776
"/u/home/g/gandalm/project-geschwind/TSC_MIA_Silva/data/STAR_bam/CB-465-L",40731704,40731704,36786099,5573912342,1376726377,1901171121,1847824597,448190247,0.497661,0.391952,0.695932,0.572074,27.03832,0.000895
"/u/home/g/gandalm/project-geschwind/TSC_MIA_Silva/data/STAR_bam/CB-465-R",33703231,33703231,30396350,4625749823,1273448503,1545447043,1506881452,299972825,0.469251,0.434694,0.723779,0.622613,27.160939,0.000695
"/u/home/g/gandalm/project-geschwind/TSC_MIA_Silva/data/STAR_bam/CB-466-L",31741926,31741926,28443301,4351465408,1158304462,1477839184,1415104479,300217283,0.475879,0.432439,0.712656,0.63843,27.91947,0.000654
"/u/home/g/gandalm/project-geschwind/TSC_MIA_Silva/data/STAR_bam/CB-466-R",39078671,39078671,35206872,5344880080,1258913455,1762566656,1872539629,450860340,0.47959,0.421832,0.710117,0.622456,27.450887,0.001065
"/u/home/g/gandalm/project-geschwind/TSC_MIA_Silva/data/STAR_bam/CB-468-L",31432842,31432842,28791957,4319793949,1147054148,1351863407,1564538658,256337736,0.459803,0.441433,0.713099,0.639048,22.599919,0.001194
"/u/home/g/gandalm/project-geschwind/TSC_MIA_Silva/data/STAR_bam/CB-468-R",36001374,36001374,32304880,4938944066,1407366553,1704043612,1498570476,328963425,0.474371,0.433642,0.71508,0.617083,27.857204,0.001215
"/u/home/g/gandalm/project-geschwind/TSC_MIA_Silva/data/STAR_bam/CB-469-L",29584904,29584904,26645597,4068117776,1125871453,1346030054,1388560708,207655561,0.410429,0.468867,0.745256,0.636543,24.913559,0.000427
"/u/home/g/gandalm/project-geschwind/TSC_MIA_Silva/data/STAR_bam/CB-469-R",35452121,35452121,31951939,4873619195,1367030575,1587539441,1653333773,265715406,0.444147,0.447281,0.705869,0.64787,26.222687,0.000406
"/u/home/g/gandalm/project-geschwind/TSC_MIA_Silva/data/STAR_bam/HP-420-L",34548346,34548346,30775541,4737638309,1339079761,1606043078,1471884196,320631274,0.395508,0.484125,0.751121,0.681736,29.475189,0.000645
"/u/home/g/gandalm/project-geschwind/TSC_MIA_Silva/data/STAR_bam/HP-420-R",35339352,35339352,32323698,4861696363,1389853938,1507667236,1698950311,265224878,0.435338,0.457043,0.73826,0.665183,22.71286,0.000483
