"","gene","log2FoldChange","pvalue","padj","hsapiens_homolog"
"ENSMUSG00000002496","Tsc2",-0.55,5.5e-88,2.3e-84,"ENSG00000103197"
"ENSMUSG00000052031","Tagap1",-0.46,1.4e-52,2.9e-49,""
"ENSMUSG00000024121","Atp6v0c",-0.36,1.1e-27,1.6e-24,"ENSG00000185883"
"ENSMUSG00000034681","Rnps1",-0.34,1.4e-40,2.6e-37,"ENSG00000205937"
"ENSMUSG00000046711","Hmga1",-0.28,3.4e-18,4.1e-15,"ENSG00000137309"
"ENSMUSG00000041130","Zfp598",-0.26,1.3e-20,1.7e-17,"ENSG00000167962"
"ENSMUSG00000044501","Zfp758",-0.22,4.3e-14,4.2e-11,""
"ENSMUSG00000023908","Pkmyt1",-0.21,6.6e-10,5e-07,"ENSG00000127564"
"ENSMUSG00000062753","AI413582",-0.21,1.4e-12,1.3e-09,""
"ENSMUSG00000036775","Decr2",-0.2,1.7e-13,1.6e-10,"ENSG00000242612"
"ENSMUSG00000073471","Rsph3a",-0.2,6.7e-09,4.7e-06,"ENSG00000130363"
"ENSMUSG00000055945","Prr18",-0.18,7.9e-08,4.9e-05,"ENSG00000176381"
"ENSMUSG00000085609","1700016P03Rik",-0.17,3.9e-07,0.00023,""
"ENSMUSG00000045903","Npas4",-0.16,2.5e-06,0.0013,"ENSG00000174576"
"ENSMUSG00000021250","Fos",-0.15,7.7e-06,0.0031,"ENSG00000170345"
"ENSMUSG00000024160","Spsb3",-0.15,1.2e-09,8.9e-07,"ENSG00000162032"
"ENSMUSG00000022602","Arc",-0.14,1.1e-05,0.004,"ENSG00000198576"
"ENSMUSG00000052837","Junb",-0.14,8.3e-06,0.0032,"ENSG00000171223"
"ENSMUSG00000063632","Sox11",-0.14,3.8e-05,0.014,"ENSG00000176887"
"ENSMUSG00000071256","Zfp213",-0.14,8.3e-06,0.0032,"ENSG00000085644"
"ENSMUSG00000095990","Zfp97",-0.14,3.6e-05,0.013,"ENSG00000214189"
"ENSMUSG00000097796","Gm16702",-0.14,5.4e-06,0.0024,""
"ENSMUSG00000023034","Nr4a1",-0.13,3e-04,0.067,"ENSG00000123358"
"ENSMUSG00000027932","Slc27a3",-0.13,0.00014,0.039,"ENSG00000143554"
"ENSMUSG00000038132","Rbm24",-0.13,6.3e-06,0.0026,"ENSG00000112183"
"ENSMUSG00000039474","Wfs1",-0.13,7.7e-05,0.025,"ENSG00000109501"
"ENSMUSG00000065590","Mir212",-0.13,3.9e-06,0.0018,""
"ENSMUSG00000071341","Egr4",-0.13,2e-04,0.048,"ENSG00000135625"
"ENSMUSG00000096696","Zfp960",-0.13,0.00015,0.041,"ENSG00000214189"
"ENSMUSG00000104951","Gm43413",-0.13,0.00014,0.039,""
"ENSMUSG00000000794","Kcnn3",-0.12,0.00025,0.058,"ENSG00000143603"
"ENSMUSG00000015127","Unkl",-0.12,4.1e-05,0.014,"ENSG00000059145"
"ENSMUSG00000021541","Trpc7",-0.12,0.00034,0.073,"ENSG00000069018"
"ENSMUSG00000023873","1700010I14Rik",-0.12,6.5e-05,0.021,"ENSG00000112539"
"ENSMUSG00000024132","Eci1",-0.12,0.00019,0.048,"ENSG00000167969"
"ENSMUSG00000035435","Abca17",-0.12,2.3e-06,0.0012,""
"ENSMUSG00000036820","Amdhd2",-0.12,8.3e-05,0.026,"ENSG00000162066"
"ENSMUSG00000037771","Slc32a1",-0.12,3.4e-05,0.013,"ENSG00000101438"
"ENSMUSG00000055866","Per2",-0.12,0.00011,0.034,"ENSG00000132326"
"ENSMUSG00000062309","Rpp25",-0.12,0.00053,0.095,"ENSG00000178718"
"ENSMUSG00000067722","BC003965",-0.12,5.6e-06,0.0024,"ENSG00000174109"
"ENSMUSG00000021379","Id4",-0.11,0.00057,0.099,"ENSG00000172201"
"ENSMUSG00000025579","Gaa",-0.11,0.00014,0.039,"ENSG00000171298"
"ENSMUSG00000037868","Egr2",-0.11,0.00047,0.089,"ENSG00000122877"
"ENSMUSG00000044533","Rps2",-0.11,1.1e-07,6.7e-05,""
"ENSMUSG00000007029","Vars",-0.1,0.00026,0.059,"ENSG00000204394"
"ENSMUSG00000031155","Pim2",-0.1,0.00032,0.071,"ENSG00000102096"
"ENSMUSG00000049516","Spty2d1",-0.097,0.00018,0.046,"ENSG00000179119"
"ENSMUSG00000034640","Tiparp",-0.095,0.00033,0.071,"ENSG00000163659"
"ENSMUSG00000098557","Kctd12",-0.093,0.00013,0.039,"ENSG00000178695"
"ENSMUSG00000016946","Kctd5",-0.09,0.00048,0.089,"ENSG00000167977"
"ENSMUSG00000040688","Tbl3",-0.086,0.00052,0.094,"ENSG00000183751"
"ENSMUSG00000035521","Gnptg",-0.084,0.00018,0.046,"ENSG00000090581"
"ENSMUSG00000040097","Flywch1",-0.08,0.00017,0.044,"ENSG00000059122"
"ENSMUSG00000003402","Prkcsh",-0.073,0.00022,0.052,"ENSG00000130175"
"ENSMUSG00000037287","Tbcel",-0.071,0.00047,0.089,"ENSG00000154114"
"ENSMUSG00000032178","Ilf3",-0.066,0.00044,0.086,"ENSG00000129351"
"ENSMUSG00000024163","Mapk8ip3",-0.064,0.00012,0.037,"ENSG00000138834"
