"","gene","log2FoldChange","pvalue","padj","hsapiens_homolog"
"ENSMUSG00000080242","Gm15487",-1.3,1.5e-145,2.5e-141,""
"ENSMUSG00000096403","Gm9825",-0.68,8.6e-52,7.2e-48,""
"ENSMUSG00000033450","Tagap",-0.6,5.3e-40,3e-36,"ENSG00000164691"
"ENSMUSG00000078249","Hmga1-rs1",-0.44,3.2e-28,1.3e-24,"ENSG00000137309"
"ENSMUSG00000024114","Prss41",-0.31,2.4e-15,5.7e-12,""
"ENSMUSG00000061897","Gm14292",-0.31,1.1e-18,3e-15,""
"ENSMUSG00000073437","D330041H03Rik",-0.31,1.5e-09,2.3e-06,""
"ENSMUSG00000059142","Zfp945",-0.26,6.9e-09,9.6e-06,""
"ENSMUSG00000035868","3110052M02Rik",-0.25,1e-06,0.0012,""
"ENSMUSG00000096255","Dynlt1b",-0.24,5.8e-07,0.00075,"ENSG00000146425"
"ENSMUSG00000036552","Ermard",-0.23,3.6e-06,0.004,"ENSG00000130023"
"ENSMUSG00000047786","Lix1",-0.2,0.00011,0.076,"ENSG00000145721"
"ENSMUSG00000028601","Echdc2",-0.19,5.4e-05,0.045,"ENSG00000121310"
"ENSMUSG00000096433","Gm4944",-0.19,6.5e-05,0.052,""
"ENSMUSG00000002504","Slc9a3r2",-0.16,0.00014,0.093,"ENSG00000065054"
"ENSMUSG00000041459","Tardbp",-0.13,1e-04,0.075,"ENSG00000120948"
