"","gene","log2FoldChange","pvalue","padj","hsapiens_homolog"
"ENSMUSG00000052031","Tagap1",-0.57,6.2e-23,2.1e-19,""
"ENSMUSG00000002496","Tsc2",-0.53,1.7e-24,7e-21,"ENSG00000103197"
"ENSMUSG00000034681","Rnps1",-0.42,4.6e-19,1.1e-15,"ENSG00000205937"
"ENSMUSG00000024121","Atp6v0c",-0.34,4.4e-08,6.7e-05,"ENSG00000185883"
"ENSMUSG00000026247","Ecel1",-0.31,2.1e-06,0.0023,"ENSG00000171551"
"ENSMUSG00000021250","Fos",-0.27,2.9e-05,0.018,"ENSG00000170345"
"ENSMUSG00000041130","Zfp598",-0.27,1.6e-06,0.002,"ENSG00000167962"
"ENSMUSG00000044501","Zfp758",-0.27,8.3e-06,0.0066,""
"ENSMUSG00000059493","Nhs",-0.27,2.2e-05,0.015,"ENSG00000188158"
"ENSMUSG00000041380","Htr2c",-0.26,3.1e-05,0.018,"ENSG00000147246"
"ENSMUSG00000048721","Fndc9",-0.26,6.3e-05,0.034,"ENSG00000172568"
"ENSMUSG00000006930","Hap1",-0.25,0.00012,0.052,"ENSG00000173805"
"ENSMUSG00000027875","Hmgcs2",-0.25,0.00018,0.069,"ENSG00000134240"
"ENSMUSG00000028004","Npy2r",-0.25,0.00017,0.066,"ENSG00000185149"
"ENSMUSG00000036775","Decr2",-0.25,6.7e-06,0.0063,"ENSG00000242612"
"ENSMUSG00000046711","Hmga1",-0.25,9e-05,0.043,"ENSG00000137309"
"ENSMUSG00000051527","Usp29",-0.25,7.4e-06,0.0065,"ENSG00000131864"
"ENSMUSG00000027400","Pdyn",-0.24,9.2e-05,0.043,"ENSG00000101327"
"ENSMUSG00000034361","Cpne2",-0.24,9.4e-05,0.043,"ENSG00000140848"
"ENSMUSG00000036699","Zcchc12",-0.24,0.00029,0.088,"ENSG00000166707"
"ENSMUSG00000039474","Wfs1",-0.24,8.9e-06,0.0067,"ENSG00000109501"
"ENSMUSG00000062753","AI413582",-0.24,6.1e-05,0.034,""
"ENSMUSG00000001260","Gabrg1",-0.23,0.00024,0.079,"ENSG00000163285"
"ENSMUSG00000038893","Fam117a",-0.23,0.00033,0.094,"ENSG00000121104"
"ENSMUSG00000050711","Scg2",-0.23,3.1e-05,0.018,"ENSG00000171951"
"ENSMUSG00000063632","Sox11",-0.23,0.00014,0.057,"ENSG00000176887"
"ENSMUSG00000010066","Cacna2d2",-0.22,0.00024,0.079,"ENSG00000007402"
"ENSMUSG00000017144","Rnd3",-0.22,7.3e-05,0.037,"ENSG00000115963"
"ENSMUSG00000019986","Ahi1",-0.22,7.2e-05,0.037,"ENSG00000135541"
"ENSMUSG00000024486","Hbegf",-0.22,0.00022,0.077,"ENSG00000113070"
"ENSMUSG00000026360","Rgs2",-0.22,9e-05,0.043,"ENSG00000116741"
"ENSMUSG00000029570","Lfng",-0.22,0.00025,0.079,"ENSG00000106003"
"ENSMUSG00000106379","Lhfpl3",-0.22,1e-04,0.046,"ENSG00000187416"
"ENSMUSG00000065590","Mir212",-0.21,0.00022,0.077,""
"ENSMUSG00000047507","Baiap3",-0.2,0.00011,0.048,"ENSG00000007516"
"ENSMUSG00000035435","Abca17",-0.19,0.00024,0.079,""
"ENSMUSG00000007850","Hnrnph1",-0.15,2.4e-05,0.015,"ENSG00000169045"
"ENSMUSG00000074939","Chrm5",-0.15,0.00028,0.088,"ENSG00000184984"
"ENSMUSG00000020719","Ddx5",-0.14,1.5e-05,0.011,"ENSG00000108654"
"ENSMUSG00000044533","Rps2",-0.14,3e-04,0.09,""
"ENSMUSG00000097451","Rian",-0.14,0.00032,0.093,""
