"","gene","log2FoldChange","pvalue","padj","hsapiens_homolog"
"ENSMUSG00000080242","Gm15487",0.36,8.6e-29,1.4e-24,""
"ENSMUSG00000056999","Ide",0.34,1.1e-27,9.5e-24,"ENSG00000119912"
"ENSMUSG00000019970","Sgk1",0.3,1.9e-21,1e-17,"ENSG00000118515"
"ENSMUSG00000040565","Btaf1",0.26,4.6e-20,1.9e-16,"ENSG00000095564"
"ENSMUSG00000096403","Gm9825",0.23,1.8e-13,6.1e-10,""
"ENSMUSG00000033450","Tagap",0.21,2.5e-11,5.9e-08,"ENSG00000164691"
"ENSMUSG00000047632","Fgfbp3",0.21,9.2e-12,2.6e-08,"ENSG00000174721"
"ENSMUSG00000078249","Hmga1-rs1",0.17,1.2e-10,2.5e-07,"ENSG00000137309"
"ENSMUSG00000021025","Nfkbia",0.16,7.7e-08,0.00011,"ENSG00000100906"
"ENSMUSG00000024114","Prss41",0.15,2.3e-08,3.9e-05,""
"ENSMUSG00000034936","Arl4d",0.15,3.7e-06,0.0044,"ENSG00000175906"
"ENSMUSG00000061897","Gm14292",0.15,1.5e-08,2.8e-05,""
"ENSMUSG00000002910","Arrdc2",0.13,4.9e-05,0.043,"ENSG00000105643"
"ENSMUSG00000029641","Rasl11a",0.13,5.3e-05,0.045,"ENSG00000122035"
"ENSMUSG00000038393","Txnip",0.12,6.8e-05,0.052,"ENSG00000265972"
"ENSMUSG00000042286","Stab1",0.12,4.4e-05,0.041,"ENSG00000010327"
"ENSMUSG00000030834","Abcc6",0.11,0.00011,0.083,"ENSG00000091262"
"ENSMUSG00000027881","Prpf38b",0.095,5.7e-05,0.045,"ENSG00000134186"
"ENSMUSG00000047420","Fam180a",0.08,4.1e-05,0.041,"ENSG00000189320"
