"","gene","log2FoldChange","pvalue","padj","hsapiens_homolog"
"ENSMUSG00000056999","Ide",0.44,2.3e-19,3.8e-15,"ENSG00000119912"
"ENSMUSG00000080242","Gm15487",0.44,1.4e-15,1.2e-11,""
"ENSMUSG00000019970","Sgk1",0.31,8.7e-11,4.8e-07,"ENSG00000118515"
"ENSMUSG00000047632","Fgfbp3",0.3,1.9e-08,4.5e-05,"ENSG00000174721"
"ENSMUSG00000096403","Gm9825",0.3,1.6e-08,4.5e-05,""
"ENSMUSG00000029641","Rasl11a",0.29,1.1e-07,0.00023,"ENSG00000122035"
"ENSMUSG00000033450","Tagap",0.27,4.2e-07,0.00079,"ENSG00000164691"
"ENSMUSG00000078249","Hmga1-rs1",0.27,1.5e-08,4.5e-05,"ENSG00000137309"
"ENSMUSG00000040565","Btaf1",0.26,1e-08,4.2e-05,"ENSG00000095564"
"ENSMUSG00000022508","Bcl6",0.23,7.1e-06,0.0099,"ENSG00000113916"
"ENSMUSG00000024114","Prss41",0.22,4.9e-06,0.0082,""
"ENSMUSG00000061897","Gm14292",0.18,2.5e-05,0.033,""
