"","gene","log2FoldChange","pvalue","padj","hsapiens_homolog"
"ENSMUSG00000002496","Tsc2",0.57,2.4e-52,1.4e-48,"ENSG00000103197"
"ENSMUSG00000024121","Atp6v0c",0.43,1.9e-25,6.5e-22,"ENSG00000185883"
"ENSMUSG00000052031","Tagap1",0.33,2e-15,4.1e-12,""
"ENSMUSG00000034681","Rnps1",0.26,1.1e-11,1.9e-08,"ENSG00000205937"
"ENSMUSG00000041130","Zfp598",0.25,2.5e-10,3.7e-07,"ENSG00000167962"
"ENSMUSG00000046711","Hmga1",0.25,7.9e-09,8.3e-06,"ENSG00000137309"
"ENSMUSG00000022602","Arc",0.23,2.8e-09,3.6e-06,"ENSG00000198576"
"ENSMUSG00000055945","Prr18",0.23,5.8e-09,6.5e-06,"ENSG00000176381"
"ENSMUSG00000044501","Zfp758",0.2,9.8e-07,0.00082,""
"ENSMUSG00000073471","Rsph3a",0.2,2e-06,0.0016,"ENSG00000130363"
"ENSMUSG00000021250","Fos",0.18,2.5e-05,0.016,"ENSG00000170345"
"ENSMUSG00000036775","Decr2",0.18,4.2e-06,0.0032,"ENSG00000242612"
"ENSMUSG00000023034","Nr4a1",0.17,6.3e-05,0.039,"ENSG00000123358"
"ENSMUSG00000067722","BC003965",0.16,9.6e-05,0.055,"ENSG00000174109"
"ENSMUSG00000097796","Gm16702",0.16,1e-05,0.0073,""
"ENSMUSG00000007029","Vars",0.15,0.00017,0.094,"ENSG00000204394"
