"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hsapiens_homolog","gene"
"ENSMUSG00000000001",919.752215521165,-0.0455314261506035,0.0393197760954059,-1.15797775755705,0.246873113396865,0.999965305096999,"ENSG00000065135","Gnai3"
"ENSMUSG00000000028",69.9325358214027,-0.0294994822386491,0.0486146067398781,-0.60680285652606,0.543981752209738,0.999965305096999,"ENSG00000093009","Cdc45"
"ENSMUSG00000000037",11.8990015085216,-0.019537296625386,0.0268841600282346,-0.726721482273103,0.46739659079905,0.999965305096999,"ENSG00000102098","Scml2"
"ENSMUSG00000000056",1624.32204530555,-0.0682406576636286,0.0368380006357812,-1.85245280650073,0.0639608284360291,0.999965305096999,"ENSG00000141562","Narf"
"ENSMUSG00000000058",246.663025183999,-0.0484008596626228,0.0505918614232146,-0.956692604324963,0.338722432097146,0.999965305096999,"ENSG00000105971","Cav2"
"ENSMUSG00000000078",735.146286765788,-0.0574977811513065,0.0433553377272179,-1.32619843750428,0.18477397672417,0.999965305096999,"ENSG00000067082","Klf6"
"ENSMUSG00000000085",591.219083583221,-0.053366123232916,0.0445036286331805,-1.19914094360224,0.230473145973251,0.999965305096999,"ENSG00000010803","Scmh1"
"ENSMUSG00000000088",1675.20973485053,-0.0867795855963368,0.0402182050460081,-2.1577190105094,0.0309496849925802,0.999965305096999,"ENSG00000178741","Cox5a"
"ENSMUSG00000000093",27.5939817193156,-0.0490457960425495,0.0401654398025067,-1.22109446040445,0.222050256884767,0.999965305096999,"ENSG00000121068","Tbx2"
"ENSMUSG00000000120",111.571190443297,-0.0318184140803644,0.050035958009213,-0.635910959764292,0.5248344588316,0.999965305096999,"ENSG00000064300","Ngfr"
"ENSMUSG00000000125",232.993803017213,0.0445335948275836,0.0503389374872262,0.88467490675353,0.376331993296713,0.999965305096999,"ENSG00000108379","Wnt3"
"ENSMUSG00000000126",18.88953210953,-0.0503625125850289,0.0377173921788336,-1.33525966870243,0.181791373803114,0.999965305096999,"ENSG00000143816","Wnt9a"
"ENSMUSG00000000127",846.121702144989,-0.0253724715712635,0.0419515993240163,-0.604803439680506,0.54530960789659,0.999965305096999,"ENSG00000151422","Fer"
"ENSMUSG00000000131",1524.72412999033,-0.0321935804882125,0.041612995730714,-0.773642462478393,0.439142254101687,0.999965305096999,"ENSG00000169180","Xpo6"
"ENSMUSG00000000134",361.616298672016,0.0807566801757267,0.0471699950864219,1.71203494992462,0.0868902278519118,0.999965305096999,"ENSG00000068323","Tfe3"
"ENSMUSG00000000142",382.729948258426,-0.0457771114792598,0.0461215663895219,-0.992531586907675,0.32093827883925,0.999965305096999,"ENSG00000168646","Axin2"
"ENSMUSG00000000148",377.612703418177,0.0271310271621181,0.0474127332922188,0.572230818141225,0.567165611570059,0.999965305096999,"ENSG00000106009","Brat1"
"ENSMUSG00000000149",1339.36577555518,-0.0223321549639352,0.0393387594332319,-0.567688338058516,0.570246611642681,0.999965305096999,"ENSG00000146535","Gna12"
"ENSMUSG00000000167",22.5011100626831,0.00288851163424593,0.0390389383148035,0.0739905273794449,0.941017922656869,0.999965305096999,"ENSG00000150773","Pih1d2"
"ENSMUSG00000000168",1946.42567212067,-0.0232711402393436,0.0346994990676161,-0.67064772877548,0.502444969370794,0.999965305096999,"ENSG00000150768","Dlat"
"ENSMUSG00000000171",1334.77537037175,0.0192026636516177,0.0406936425952027,0.471883626703927,0.637009855563787,0.999965305096999,"ENSG00000255292","Sdhd"
"ENSMUSG00000000184",119.945761716852,0.00187591253812216,0.048392430540451,0.0387645860555421,0.96907807983376,0.999965305096999,"ENSG00000118971","Ccnd2"
"ENSMUSG00000000194",1125.44080106563,-0.0480148797122966,0.0385049020248998,-1.24698096053451,0.212404478834596,0.999965305096999,"ENSG00000148358","Gpr107"
"ENSMUSG00000000197",2959.2273514549,-0.000890443459673108,0.0351976522212587,-0.025298376552948,0.97981696884107,0.999965305096999,"ENSG00000102452","Nalcn"
"ENSMUSG00000000202",570.387206440171,-0.0347142581404977,0.0464251598601499,-0.747746658171348,0.454612982174327,0.999965305096999,"ENSG00000204347","Btbd17"
"ENSMUSG00000000214",259.954225484646,0.037248921292461,0.050722340547877,0.734369133800157,0.462723793441567,0.999965305096999,"ENSG00000180176","Th"
"ENSMUSG00000000223",456.80740622537,-0.0870495138867717,0.0458677803163604,-1.89783576371849,0.0577177204091465,0.999965305096999,"ENSG00000102385","Drp2"
"ENSMUSG00000000247",14.3951448021577,-0.030629412888806,0.0323396493547206,-0.947116419007649,0.343579459033903,0.999965305096999,"ENSG00000106689","Lhx2"
"ENSMUSG00000000253",494.390495273081,0.000293991463252778,0.0442099060284634,0.0066499002070599,0.994694186398819,0.999965305096999,"ENSG00000137198","Gmpr"
"ENSMUSG00000000263",176.363353108247,-0.0077768962947614,0.0272500256311465,-0.285390421279916,0.775345045250129,0.999965305096999,"ENSG00000145888","Glra1"
"ENSMUSG00000000266",648.396933949871,-0.0540605277210663,0.0414930065538313,-1.30288287620061,0.192614750866244,0.999965305096999,"ENSG00000080561","Mid2"
"ENSMUSG00000000275",91.4838942173724,-0.0987272959226668,0.0490360695635218,-2.01336071184854,0.0440766956303765,0.999965305096999,"ENSG00000121060","Trim25"
"ENSMUSG00000000276",1887.7805801829,-0.00109709257430511,0.0347098233265078,-0.0316075528240232,0.974785020118144,0.999965305096999,"ENSG00000153933","Dgke"
"ENSMUSG00000000278",193.468125879951,-0.0540640185574874,0.0501788767144546,-1.07742584325156,0.281290063793619,0.999965305096999,"ENSG00000121064","Scpep1"
"ENSMUSG00000000282",207.021913290627,-0.0542877009199678,0.0507288382939269,-1.07015462497723,0.284549714694698,0.999965305096999,"ENSG00000070444","Mnt"
"ENSMUSG00000000290",53.3250157405816,-0.0299801188872033,0.0462201871943612,-0.648636898875669,0.51657309949039,0.999965305096999,"ENSG00000160255","Itgb2"
"ENSMUSG00000000295",99.005744420061,0.0325890781263211,0.0503917114011597,0.646715049363676,0.517816381275167,0.999965305096999,"ENSG00000111906","Hddc2"
"ENSMUSG00000000296",118.406474641438,-0.0230521151433732,0.05030752068349,-0.458224035495719,0.646791493508247,0.999965305096999,"ENSG00000111907","Tpd52l1"
"ENSMUSG00000000301",30.6201037525652,0.0116888402963899,0.0430821905366126,0.271314901837601,0.786148846162325,0.999965305096999,"ENSG00000133027","Pemt"
"ENSMUSG00000000303",166.500634246408,-0.0218910255535971,0.050700324652967,-0.431772887125211,0.665906486997922,0.999965305096999,"ENSG00000039068","Cdh1"
"ENSMUSG00000000305",258.813990216415,-0.0657910738054124,0.0496023147939654,-1.32637103890596,0.184716826806793,0.999965305096999,"ENSG00000179242","Cdh4"
"ENSMUSG00000000308",3512.96768917416,0.0230457947488108,0.0396858680607851,0.58070532093471,0.5614390749659,0.999965305096999,"ENSG00000223572","Ckmt1"
"ENSMUSG00000000317",48.0208485162741,-0.021582264370269,0.0464025805446686,-0.465109140848174,0.641853300346173,0.999965305096999,"ENSG00000161940","Bcl6b"
"ENSMUSG00000000320",13.6494875065119,-0.0278846288584243,0.0343639883639894,-0.811449141556719,0.41710778823888,0.999965305096999,"ENSG00000108839","Alox12"
"ENSMUSG00000000325",267.385152611331,0.0476859316779218,0.0492676303358306,0.967895783760509,0.333096420234272,0.999965305096999,"ENSG00000099889","Arvcf"
"ENSMUSG00000000326",314.198315086696,0.00867236439007425,0.0487189846861334,0.178007904843358,0.858716767722753,0.999965305096999,"ENSG00000093010","Comt"
