"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hsapiens_homolog","gene"
"ENSMUSG00000000001",809.692164900854,0.00031266016482027,0.0380349187962598,0.00822034526996324,0.993441187292329,0.999997656650703,"ENSG00000065135","Gnai3"
"ENSMUSG00000000028",45.0160956561391,0.0081106227579975,0.0353153689211477,0.229662693772417,0.81835388610128,0.999997656650703,"ENSG00000093009","Cdc45"
"ENSMUSG00000000037",19.5405804049005,-0.0581927475184408,0.0293615565877872,-1.98193673228639,0.0474863221395702,0.999997656650703,"ENSG00000102098","Scml2"
"ENSMUSG00000000056",1360.86556307286,0.0224317866160129,0.0340510425691738,0.658769450904279,0.510043827230365,0.999997656650703,"ENSG00000141562","Narf"
"ENSMUSG00000000058",611.648755970013,-0.0102147174479222,0.0395236239816236,-0.25844587157978,0.796062818319102,0.999997656650703,"ENSG00000105971","Cav2"
"ENSMUSG00000000078",836.536615693401,-0.0450437402439409,0.0398663234668221,-1.12986943181324,0.258531246199724,0.999997656650703,"ENSG00000067082","Klf6"
"ENSMUSG00000000085",520.6068299008,-0.010544813181268,0.0416787262307897,-0.253002290014278,0.800266443582364,0.999997656650703,"ENSG00000010803","Scmh1"
"ENSMUSG00000000088",1527.24113014042,0.00799583688672546,0.035732972337224,0.223766352579519,0.822939112843061,0.999997656650703,"ENSG00000178741","Cox5a"
"ENSMUSG00000000093",32.0282259472639,-0.0688436230361555,0.0333904126571088,-2.0617781440176,0.039228862805033,0.999997656650703,"ENSG00000121068","Tbx2"
"ENSMUSG00000000120",51.0032521512194,-0.00659631407720593,0.0363118076249884,-0.181657551872097,0.855851480310133,0.999997656650703,"ENSG00000064300","Ngfr"
"ENSMUSG00000000125",30.9033111986234,-0.0766666082907193,0.0343728516760077,-2.2304407272741,0.025718198319283,0.999997656650703,"ENSG00000108379","Wnt3"
"ENSMUSG00000000126",181.042332757104,-0.0143778571826009,0.0430152763197062,-0.334250024938561,0.738190898084079,0.999997656650703,"ENSG00000143816","Wnt9a"
