"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hsapiens_homolog","gene"
"ENSMUSG00000000001",709.466830126141,0.00105860066507344,0.0504434858774648,0.0209858745219344,0.98325692369416,0.999453367340643,"ENSG00000065135","Gnai3"
"ENSMUSG00000000028",35.7052219974658,0.0190888380661421,0.0625180727885911,0.305333117524148,0.760112455309418,0.997748533661829,"ENSG00000093009","Cdc45"
"ENSMUSG00000000037",20.6782149087156,-0.13866183294534,0.0580393656344753,-2.38909973307798,0.0168897167373077,0.756648984562678,"ENSG00000102098","Scml2"
"ENSMUSG00000000056",1268.35925335062,-0.0549890373964087,0.044129684406383,-1.24607819285594,0.212735689927943,0.997748533661829,"ENSG00000141562","Narf"
"ENSMUSG00000000058",492.53183990125,0.03291280116942,0.0541538862490977,0.607764344335831,0.543343780574189,0.997748533661829,"ENSG00000105971","Cav2"
"ENSMUSG00000000078",1120.43144304143,0.0837961378889789,0.0526685016678849,1.59101047562312,0.111607218246774,0.997748533661829,"ENSG00000067082","Klf6"
"ENSMUSG00000000085",658.732736354709,0.050022373805329,0.0566987271621496,0.88224862018988,0.377642374611924,0.997748533661829,"ENSG00000010803","Scmh1"
"ENSMUSG00000000088",1389.58256248553,0.0407737979022269,0.042730627626236,0.954205453261172,0.339979654827524,0.997748533661829,"ENSG00000178741","Cox5a"
"ENSMUSG00000000093",30.6949381289388,0.0615920171612662,0.0621417122257917,0.991154169319826,0.321610305632438,0.997748533661829,"ENSG00000121068","Tbx2"
"ENSMUSG00000000120",60.5473401584584,-0.133790283880209,0.0615849704244102,-2.17245024164498,0.0298217189165351,0.853977396428794,"ENSG00000064300","Ngfr"
"ENSMUSG00000000125",41.9411266685813,0.111750660464238,0.062598743155323,1.78519016247589,0.0742304771058083,0.997748533661829,"ENSG00000108379","Wnt3"
"ENSMUSG00000000126",253.984703261322,0.138290211973377,0.064273262283142,2.15159783494681,0.0314290428049465,0.87061046011256,"ENSG00000143816","Wnt9a"
"ENSMUSG00000000127",726.176003655739,0.0236641854402924,0.0486274988878929,0.486642043730203,0.626512023247796,0.997748533661829,"ENSG00000151422","Fer"
"ENSMUSG00000000131",1793.97547513756,-0.0305191117976735,0.0402532987644314,-0.758176664632534,0.448345229024005,0.997748533661829,"ENSG00000169180","Xpo6"
"ENSMUSG00000000134",379.723992279843,-0.0451535204426308,0.0579711340610328,-0.778896621119962,0.436040614502243,0.997748533661829,"ENSG00000068323","Tfe3"
"ENSMUSG00000000142",504.094973230266,0.00697633425365646,0.0558891491877529,0.124824484806886,0.900662502919455,0.998136878462994,"ENSG00000168646","Axin2"
"ENSMUSG00000000148",411.291482608575,0.0176874829303998,0.0537712767009889,0.328939240716865,0.742201613419037,0.997748533661829,"ENSG00000106009","Brat1"
"ENSMUSG00000000149",1608.76917627985,0.0628290813117474,0.0583771807916649,1.07626097149107,0.281810558166748,0.997748533661829,"ENSG00000146535","Gna12"
"ENSMUSG00000000167",39.9784533638544,-0.0560425534111573,0.0628425750617316,-0.89179275922582,0.372504023468541,0.997748533661829,"ENSG00000150773","Pih1d2"
"ENSMUSG00000000168",1911.50938285178,0.0240344750149864,0.0410039712739952,0.586149933000004,0.55777476352854,0.997748533661829,"ENSG00000150768","Dlat"
"ENSMUSG00000000171",1104.18344772299,-0.0101891495539573,0.0494758182439817,-0.20594201198879,0.836836207947385,0.997748533661829,"ENSG00000255292","Sdhd"
"ENSMUSG00000000184",1073.6024315912,0.00252804086278882,0.054049567929216,0.0467726377775966,0.962694437048348,0.998874448410803,"ENSG00000118971","Ccnd2"
"ENSMUSG00000000194",956.026536963317,0.0271390649731977,0.0496053669908629,0.547099368868627,0.584310465849472,0.997748533661829,"ENSG00000148358","Gpr107"
"ENSMUSG00000000197",3660.36875249981,-0.0568662263380211,0.0408064464078953,-1.39355987457458,0.163450552521041,0.997748533661829,"ENSG00000102452","Nalcn"
"ENSMUSG00000000202",243.716560936739,0.0352209167112027,0.0628841667115584,0.560091968344854,0.575416708480106,0.997748533661829,"ENSG00000204347","Btbd17"
"ENSMUSG00000000214",60.7327104248169,-0.0432627269160169,0.0651892249141321,-0.663648432283142,0.506915351430165,0.997748533661829,"ENSG00000180176","Th"
"ENSMUSG00000000223",1441.89402050409,0.0798116404553964,0.0461263402030512,1.73028339348104,0.08357965507139,0.997748533661829,"ENSG00000102385","Drp2"
"ENSMUSG00000000247",470.176454047821,0.0441428007595961,0.0644762617608739,0.684636477891825,0.493573342432899,0.997748533661829,"ENSG00000106689","Lhx2"
"ENSMUSG00000000253",762.018242082858,0.0221344569005376,0.0528450637326628,0.418855713988981,0.675321584353464,0.997748533661829,"ENSG00000137198","Gmpr"
"ENSMUSG00000000263",9.93747429339619,-0.0412372606187095,0.0444864209489084,-0.926962874043511,0.353945810608931,0.997748533661829,"ENSG00000145888","Glra1"
"ENSMUSG00000000266",572.499891157269,-0.0777378618429452,0.053847758018908,-1.44366013930698,0.148834599148335,0.997748533661829,"ENSG00000080561","Mid2"
"ENSMUSG00000000275",91.1290773843628,0.00970515630842103,0.0657904778625387,0.147516124274075,0.882724653627296,0.997904375831047,"ENSG00000121060","Trim25"
"ENSMUSG00000000276",2172.52883145584,0.0296457651546677,0.0429304014660474,0.69055410949543,0.489845794838469,0.997748533661829,"ENSG00000153933","Dgke"
