"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hsapiens_homolog","gene"
"ENSMUSG00000000001",809.327679353131,-0.0132186157480887,0.0229074253102465,-0.577045022260794,0.563909041972778,0.999227021086989,"ENSG00000065135","Gnai3"
"ENSMUSG00000000028",49.9197633848032,-0.0312711337837897,0.0305232980118838,-1.02450049046518,0.305598939288292,0.995304745913675,"ENSG00000093009","Cdc45"
"ENSMUSG00000000037",17.3642753049658,-0.0206177019395883,0.0227490477562641,-0.906310548049689,0.364771504035285,0.998179919848107,"ENSG00000102098","Scml2"
"ENSMUSG00000000056",1412.69567569214,-0.0140806951122034,0.0196188262966328,-0.717713429911967,0.472934000824606,0.998179919848107,"ENSG00000141562","Narf"
"ENSMUSG00000000058",448.122796012464,-0.0290765087651502,0.0289505401357184,-1.00435116681213,0.315209379024074,0.995961107235952,"ENSG00000105971","Cav2"
"ENSMUSG00000000078",899.762817372921,-0.0260880575847425,0.0282631015403205,-0.923042984066166,0.355984805389827,0.998179919848107,"ENSG00000067082","Klf6"
"ENSMUSG00000000085",590.705336098174,0.00460435729943196,0.0284862139518315,0.161634582511304,0.871593622482361,0.999227021086989,"ENSG00000010803","Scmh1"
"ENSMUSG00000000088",1524.67059107075,0.00384625728126107,0.0230216090767307,0.167071609479666,0.867313704368512,0.999227021086989,"ENSG00000178741","Cox5a"
"ENSMUSG00000000093",30.0193721571919,0.000703425918680888,0.0284320005192901,0.0247406410324042,0.980261838135656,0.999227021086989,"ENSG00000121068","Tbx2"
"ENSMUSG00000000120",74.2033345598429,-0.00616549810387323,0.0282144732046682,-0.218522531296211,0.82702200504639,0.999227021086989,"ENSG00000064300","Ngfr"
"ENSMUSG00000000125",101.482020530696,0.0233040041281618,0.0310234144924907,0.751174701733834,0.452547523157602,0.998179919848107,"ENSG00000108379","Wnt3"
"ENSMUSG00000000126",152.362914941382,-0.0014345810005492,0.0139931202765338,-0.102520450921512,0.918343580885767,0.999227021086989,"ENSG00000143816","Wnt9a"
"ENSMUSG00000000127",825.635745665128,-0.000436059807628849,0.0222126221520726,-0.0196311720716035,0.984337596903829,0.999227021086989,"ENSG00000151422","Fer"
"ENSMUSG00000000131",1710.0146770617,0.0350350060919332,0.0216943680223821,1.61493554713314,0.106324653284765,0.975960730091917,"ENSG00000169180","Xpo6"
"ENSMUSG00000000134",367.199847464828,-0.00120048521858911,0.0281991703668301,-0.0425716502639101,0.966042994806595,0.999227021086989,"ENSG00000068323","Tfe3"
"ENSMUSG00000000142",448.776155544275,-0.0291437900621093,0.0268877398403959,-1.08390627978049,0.278406354984947,0.99106628091133,"ENSG00000168646","Axin2"
"ENSMUSG00000000148",404.558727202403,-0.0381404376115944,0.02602660794192,-1.46544020245385,0.142800855736226,0.975960730091917,"ENSG00000106009","Brat1"
"ENSMUSG00000000149",1558.84946934117,-0.0543992424826453,0.0270090130429112,-2.01411441418527,0.043997522518513,0.934997328951828,"ENSG00000146535","Gna12"
"ENSMUSG00000000167",34.7093026026757,-0.0195366268662255,0.0297572184633048,-0.656534040314191,0.511480572807975,0.998179919848107,"ENSG00000150773","Pih1d2"
"ENSMUSG00000000168",2155.0010769164,-0.0171735586776146,0.0179387677654789,-0.957343274751744,0.338394019664624,0.998179919848107,"ENSG00000150768","Dlat"
"ENSMUSG00000000171",1232.4223301852,-0.0119369595694004,0.0244537175109834,-0.488144985073901,0.625447149292296,0.999227021086989,"ENSG00000255292","Sdhd"
"ENSMUSG00000000184",853.455504538929,-0.0204265649200271,0.0304469193485045,-0.670891024678674,0.50228995446499,0.998179919848107,"ENSG00000118971","Ccnd2"
"ENSMUSG00000000194",1049.33420576723,-0.0333177099693411,0.0212943744131007,-1.56462497197586,0.11767087003023,0.975960730091917,"ENSG00000148358","Gpr107"
"ENSMUSG00000000197",3470.92138387981,0.0245446479106015,0.0185085951317614,1.32612160652225,0.184799420379591,0.978719427420668,"ENSG00000102452","Nalcn"
"ENSMUSG00000000202",339.691248660641,0.00375806173197414,0.0300108072656862,0.125223613570403,0.900346523458406,0.999227021086989,"ENSG00000204347","Btbd17"
"ENSMUSG00000000214",110.832877944232,0.000874644506300655,0.0102370297909593,0.0854392850427266,0.931912162381056,0.999227021086989,"ENSG00000180176","Th"
"ENSMUSG00000000223",1095.95271745975,-0.0152790253338465,0.0246913034924308,-0.618801892679759,0.536046875217,0.999227021086989,"ENSG00000102385","Drp2"
"ENSMUSG00000000247",416.95416762453,-0.0120861086428231,0.0314737017217339,-0.38400658269177,0.700973568582062,0.999227021086989,"ENSG00000106689","Lhx2"
"ENSMUSG00000000253",768.478086250453,-0.0464929613639099,0.0235505938115295,-1.9741736338363,0.0483620029264541,0.946900898419825,"ENSG00000137198","Gmpr"
"ENSMUSG00000000263",62.3872435491481,-0.0274496367426517,0.0161043646987838,-1.70448429702569,0.0882906472608015,0.975960730091917,"ENSG00000145888","Glra1"
"ENSMUSG00000000266",574.738020057628,-0.0107105198241289,0.0253894168948966,-0.421849775773377,0.673134671164851,0.999227021086989,"ENSG00000080561","Mid2"
"ENSMUSG00000000275",91.0508172182732,-0.0469447611243838,0.0313821633706548,-1.49590582936935,0.134678197016676,0.975960730091917,"ENSG00000121060","Trim25"
"ENSMUSG00000000276",2117.35052560792,0.0156114138829478,0.0176784076043894,0.883078059534711,0.377194097614287,0.998179919848107,"ENSG00000153933","Dgke"
"ENSMUSG00000000278",175.35864943199,0.0314275121282428,0.0304659245930019,1.03156272288095,0.302277010810634,0.995304745913675,"ENSG00000121064","Scpep1"
"ENSMUSG00000000282",221.603643575496,0.00719390978337075,0.0317281584230059,0.226735812632431,0.820629177788093,0.999227021086989,"ENSG00000070444","Mnt"
"ENSMUSG00000000290",75.8002883399406,-0.0336978790597621,0.0317794277580463,-1.06036771071909,0.288977345884932,0.993293974690175,"ENSG00000160255","Itgb2"
"ENSMUSG00000000295",143.843175349914,0.0358331632375963,0.0304611778810971,1.17635514219011,0.239452989187166,0.988683540346976,"ENSG00000111906","Hddc2"
"ENSMUSG00000000296",288.78188130556,0.0248578999209435,0.0297359979100679,0.835953109632388,0.403181282696715,0.998179919848107,"ENSG00000111907","Tpd52l1"
"ENSMUSG00000000301",29.9520612145415,0.0173875598435362,0.0294156025170269,0.591099904666973,0.554453483745924,0.999227021086989,"ENSG00000133027","Pemt"
"ENSMUSG00000000303",62.454371377442,0.0322731963777395,0.0133391063779121,2.41944216227107,0.0155443324898685,0.829908618017474,"ENSG00000039068","Cdh1"
"ENSMUSG00000000305",272.009997657998,0.000629578630204703,0.0311454675662382,0.0202141332078498,0.983872553520083,0.999227021086989,"ENSG00000179242","Cdh4"
"ENSMUSG00000000308",3675.42363928653,-0.0170638375868495,0.0209180884194409,-0.815745552112241,0.414645680012493,0.998179919848107,"ENSG00000223572","Ckmt1"
"ENSMUSG00000000317",33.5710649404899,-0.00786149260309616,0.0298007898515,-0.263801484533487,0.791932890592217,0.999227021086989,"ENSG00000161940","Bcl6b"
"ENSMUSG00000000320",11.1131979547242,0.0121330858063732,0.0215993225548578,0.56173455327396,0.574296888540148,0.999227021086989,"ENSG00000108839","Alox12"
"ENSMUSG00000000325",271.113151704691,-0.0262471481294777,0.0284066372499885,-0.923979417151474,0.355497032337682,0.998179919848107,"ENSG00000099889","Arvcf"
"ENSMUSG00000000326",358.800642948126,-0.0357226977801622,0.0284676096292691,-1.25485413933152,0.209531714807882,0.978719427420668,"ENSG00000093010","Comt"
"ENSMUSG00000000339",711.296033064561,-0.0633378499798187,0.022869261172587,-2.76956258017381,0.00561316199863174,0.711642064639525,"ENSG00000137996","Rtca"
"ENSMUSG00000000340",338.991582526773,-0.0376297143878664,0.0271306255115864,-1.38698292716459,0.165446968900096,0.975960730091917,"ENSG00000137992","Dbt"
"ENSMUSG00000000346",1055.28465380928,-0.00283490071310782,0.020953348953236,-0.135295828816424,0.89237798287897,0.999227021086989,"ENSG00000183283","Dazap2"
"ENSMUSG00000000355",494.939474368366,0.0420454646773051,0.0263091971299567,1.59812800328409,0.110014492586447,0.975960730091917,"ENSG00000232119","Mcts1"
"ENSMUSG00000000365",35.7561627138667,0.0312540340803879,0.0262326561553156,1.19141706029852,0.233489898778635,0.987751167008102,"ENSG00000132972","Rnf17"
"ENSMUSG00000000374",2570.15381083153,-0.0242005465175513,0.018067894917605,-1.33942258508327,0.180433140988741,0.978343397920187,"ENSG00000160218","Trappc10"
"ENSMUSG00000000378",582.612622948549,-0.0445482692119214,0.0279014201384385,-1.59663088799374,0.110348009520655,0.975960730091917,"ENSG00000136280","Ccm2"
"ENSMUSG00000000384",393.063405823248,-0.0570651292050051,0.0268192923180296,-2.12776416798449,0.0333566416370798,0.894491702139932,"ENSG00000136270","Tbrg4"
"ENSMUSG00000000392",46.4514521891718,-0.0120327544815253,0.0271737377353954,-0.442808221625393,0.657904456025812,0.999227021086989,"ENSG00000078098","Fap"
"ENSMUSG00000000399",1606.07906876924,-0.0119147493301446,0.022426791970005,-0.531273012479009,0.595229604042349,0.999227021086989,"ENSG00000255639","Ndufa9"
"ENSMUSG00000000402",28.6629508215739,-0.00823724444571284,0.0285148164722266,-0.2888759411703,0.772676315357619,0.999227021086989,"ENSG00000198759","Egfl6"
"ENSMUSG00000000409",16.7597829327972,-0.00443936122875314,0.0237483624010114,-0.186933362132122,0.851712881037614,0.999227021086989,"ENSG00000182866","Lck"
"ENSMUSG00000000416",2321.57814074351,-0.00387937680653545,0.0284115547659291,-0.136542221588928,0.891392649076501,0.999227021086989,"ENSG00000077063","Cttnbp2"
"ENSMUSG00000000420",1172.44042737478,-0.00674307198770135,0.0214632271365207,-0.314168598450308,0.753392990914746,0.999227021086989,"ENSG00000141429","Galnt1"
"ENSMUSG00000000439",753.014733847248,-0.0306701827878316,0.0228061833513619,-1.34481874127352,0.178683776512133,0.978343397920187,"ENSG00000075975","Mkrn2"
"ENSMUSG00000000440",72.5306651213119,0.00445613399545399,0.0317049375627601,0.140550158366754,0.888225325108719,0.999227021086989,"ENSG00000132170","Pparg"
"ENSMUSG00000000441",1913.98734107156,0.0159642725440659,0.0197856448920371,0.806861370007243,0.419746357003551,0.998179919848107,"ENSG00000132155","Raf1"
"ENSMUSG00000000486",27.3731317336306,-0.0143654742155654,0.0293248321940342,-0.48987404669575,0.624223029259251,0.999227021086989,"ENSG00000180096","Sept1"
"ENSMUSG00000000489",307.80876998556,-0.0149435599771228,0.0292635510834254,-0.510654360932522,0.609593103673919,0.999227021086989,"ENSG00000100311","Pdgfb"
"ENSMUSG00000000530",261.124963805052,0.0313889266656551,0.0317156387997909,0.989698705544029,0.322321407900758,0.995961107235952,"ENSG00000139567","Acvrl1"
"ENSMUSG00000000531",419.463154481596,0.00204339842442943,0.0193463604363821,0.105621852293555,0.915882386109468,0.999227021086989,"ENSG00000161835","Grasp"
"ENSMUSG00000000532",2139.88122086961,-0.013562894892377,0.0221180878843873,-0.613203770745062,0.539741611813568,0.999227021086989,"ENSG00000135503","Acvr1b"
"ENSMUSG00000000538",2944.08921531362,-0.0325402617692027,0.0216026562876007,-1.50630836023068,0.131988032980016,0.975960730091917,"ENSG00000175662","Tom1l2"
"ENSMUSG00000000552",177.042674358185,-0.00888461787820486,0.0306955789991553,-0.289442915491164,0.772242457891619,0.999227021086989,"ENSG00000161642","Zfp385a"
"ENSMUSG00000000555",39.5578136120423,0.0157507248261633,0.0255347023845357,0.616836044883854,0.537342874454102,0.999227021086989,"ENSG00000161638","Itga5"
"ENSMUSG00000000560",1499.39589241825,0.0248181820864323,0.024678336145373,1.00566674917772,0.314575903188068,0.995961107235952,"ENSG00000151834","Gabra2"
"ENSMUSG00000000561",481.771848378616,0.0334163933981108,0.0245823643562154,1.35936449862529,0.174031114954588,0.978343397920187,"ENSG00000116455","Wdr77"
"ENSMUSG00000000563",3661.1538341556,-0.0234088304606437,0.0178857269966824,-1.30879949498199,0.190602278077844,0.978719427420668,"ENSG00000116459","Atp5f1"
"ENSMUSG00000000567",182.643600665207,-0.108728364524834,0.0318359340062741,-3.41527170220312,0.000637184181857486,0.266980172198286,"ENSG00000125398","Sox9"
"ENSMUSG00000000568",1670.4945752144,0.0487357510310026,0.0248156967193555,1.96390823043023,0.0495407352190911,0.951924632533542,"ENSG00000138668","Hnrnpd"
"ENSMUSG00000000579",19.8764475405523,0.011286366958762,0.0243492680045131,0.463519763989213,0.642991851613663,0.999227021086989,"ENSG00000146425","Dynlt1c"
"ENSMUSG00000000581",640.218798003909,-0.00365698314856906,0.0261856368061112,-0.139656070831762,0.88893173655835,0.999227021086989,"ENSG00000197223","C1d"
"ENSMUSG00000000594",1039.82771820729,-0.0219422592511827,0.0237932379460596,-0.922205683014935,0.356421299332131,0.998179919848107,"ENSG00000196743","Gm2a"
"ENSMUSG00000000600",1662.68181046885,0.00529510608501547,0.0225525189581648,0.234790007042582,0.81437172419201,0.999227021086989,"ENSG00000001631","Krit1"
"ENSMUSG00000000605",4089.4856649668,-0.0132361593115784,0.0154189322718965,-0.858435530954596,0.390652014993876,0.998179919848107,"ENSG00000073464","Clcn4"
"ENSMUSG00000000627",546.577158921006,-0.00688005471752341,0.0284607666136423,-0.241738207930968,0.808983021766176,0.999227021086989,"ENSG00000135622","Sema4f"
"ENSMUSG00000000628",185.399753443353,-0.0223073501945159,0.0312909779657835,-0.712900383583692,0.475907401797836,0.998179919848107,"ENSG00000159399","Hk2"
"ENSMUSG00000000631",2974.02523303494,-0.0114763650389959,0.0199295222290857,-0.57584747426845,0.564718281437768,0.999227021086989,"ENSG00000196535","Myo18a"
"ENSMUSG00000000632",1551.86251525881,0.0179606552066045,0.0309694889275951,0.57994677434282,0.561950511599342,0.999227021086989,"ENSG00000063015","Sez6"
"ENSMUSG00000000682",16.6595316726097,0.00753079104973441,0.0230771100559164,0.326331634744867,0.744173456052884,0.999227021086989,"","Cd52"
"ENSMUSG00000000686",26.2536720824803,0.000402080898612185,0.0286445445096592,0.0140369101863917,0.98880053386296,0.999227021086989,"ENSG00000168792","Abhd15"
"ENSMUSG00000000693",85.1924499168599,-0.0611288376389849,0.0317895329129343,-1.92292342911755,0.0544896668800005,0.951924632533542,"ENSG00000115318","Loxl3"
"ENSMUSG00000000708",1302.38870707459,-0.0200038052305767,0.0263788177160276,-0.758328346854702,0.448254441406567,0.998179919848107,"ENSG00000114166","Kat2b"
"ENSMUSG00000000711",2211.48262254935,-0.0254043329966203,0.0197228709348488,-1.28806465755109,0.197723456777865,0.978719427420668,"ENSG00000111540","Rab5b"
"ENSMUSG00000000732",154.068482742391,0.0228478352507465,0.0317404166802773,0.719834130751773,0.471627127770806,0.998179919848107,"ENSG00000160223","Icosl"
"ENSMUSG00000000738",899.454572033165,0.0220445923765065,0.022489899751944,0.980199672726465,0.326987566050907,0.997539102352975,"ENSG00000197912","Spg7"
"ENSMUSG00000000740",2264.66598057382,-0.00446144283785888,0.0230541463412175,-0.193520192499276,0.846551593618198,0.999227021086989,"ENSG00000167526","Rpl13"
"ENSMUSG00000000743",1319.78584645262,-0.0184648958663112,0.0218947390751043,-0.843348523267261,0.399033552444936,0.998179919848107,"ENSG00000131165","Chmp1a"
"ENSMUSG00000000751",1200.59225153461,-0.0119340121816185,0.0213710064309846,-0.558420691143311,0.576557147018985,0.999227021086989,"ENSG00000132383","Rpa1"
"ENSMUSG00000000753",144.560071575888,0.0396644276273766,0.0312483104003591,1.26933031319738,0.204323279184234,0.978719427420668,"ENSG00000132386","Serpinf1"
"ENSMUSG00000000759",1031.03302538126,0.00642206890692261,0.0212681903317387,0.301956527882812,0.762685202683837,0.999227021086989,"ENSG00000126216","Tubgcp3"
"ENSMUSG00000000766",86.0599107342648,-0.0339123336916511,0.0304098475791079,-1.1151760495817,0.264774987306419,0.99106628091133,"ENSG00000112038","Oprm1"
"ENSMUSG00000000776",335.934521201258,-0.01211343234935,0.0277848260452678,-0.435972941835751,0.662856361461472,0.999227021086989,"ENSG00000168495","Polr3d"
"ENSMUSG00000000782",26.0008826999817,0.0239721059498089,0.0268669924407023,0.892251188990259,0.372258310480659,0.998179919848107,"ENSG00000081059","Tcf7"
"ENSMUSG00000000787",6803.26065259112,0.00646925224538141,0.0180815904696836,0.357781150736051,0.720507097634785,0.999227021086989,"ENSG00000215301","Ddx3x"
"ENSMUSG00000000792",234.015609795468,0.0117175978004978,0.0318271310048154,0.368163809635399,0.712751093754016,0.999227021086989,"ENSG00000105641","Slc5a5"
"ENSMUSG00000000794",370.479407954387,0.04275244878561,0.0304488466828128,1.40407448699008,0.160296669969072,0.975960730091917,"ENSG00000143603","Kcnn3"
"ENSMUSG00000000804",3783.30441396851,-0.0181868858219376,0.0180455786504787,-1.00783057025745,0.313535807314222,0.99595141075903,"ENSG00000170832","Usp32"
"ENSMUSG00000000805",695.221476167884,-0.00648040504228662,0.0298880049778381,-0.216822937733443,0.828346335435221,0.999227021086989,"ENSG00000167434","Car4"
"ENSMUSG00000000811",97.8599770815436,0.0273887121893147,0.0317870564751415,0.861630966388269,0.388890624929367,0.998179919848107,"ENSG00000197763","Txnrd3"
"ENSMUSG00000000823",950.289523883937,0.0151254586068934,0.024946292268529,0.606320909098582,0.544301676706034,0.999227021086989,"ENSG00000196700","Zfp512b"
"ENSMUSG00000000826",6575.18414796463,-0.0123309178198566,0.0149364255769046,-0.825560155364295,0.409053645437122,0.998179919848107,"ENSG00000101152","Dnajc5"
"ENSMUSG00000000827",948.59597478105,0.00837034575166307,0.0217131574901044,0.385496478597265,0.6998696149425,0.999227021086989,"ENSG00000101150","Tpd52l2"
"ENSMUSG00000000838",1564.80076504837,0.0316901362352541,0.0198445193040706,1.59692133377872,0.110283243660765,0.975960730091917,"ENSG00000102081","Fmr1"
"ENSMUSG00000000861",784.24734500123,0.0368346149063517,0.029166398300125,1.26291270273827,0.206620554307488,0.978719427420668,"ENSG00000119866","Bcl11a"
"ENSMUSG00000000876",190.675582371808,-0.0287675530023571,0.0300164884950912,-0.958391685525164,0.337865286263984,0.998179919848107,"ENSG00000101417","Pxmp4"
"ENSMUSG00000000881",3320.53058648212,-0.00510990692367188,0.0194279632318241,-0.263018148773391,0.792536590766364,0.999227021086989,"ENSG00000082458","Dlg3"
"ENSMUSG00000000884",59.2261544932723,0.0263677629906077,0.0315127709792942,0.836732606216472,0.402742886851669,0.998179919848107,"ENSG00000185838","Gnb1l"
"ENSMUSG00000000901",33.257751167158,-0.0028905781236867,0.0290552180916177,-0.0994856798036087,0.92075265735287,0.999227021086989,"ENSG00000099953","Mmp11"
"ENSMUSG00000000902",859.278095072852,0.00647945947101553,0.0218007935291286,0.297212092869839,0.766304590026358,0.999227021086989,"ENSG00000099956","Smarcb1"
"ENSMUSG00000000915",1704.57302252511,0.0010302162383928,0.019916303077613,0.0517272826376507,0.95874599793413,0.999227021086989,"ENSG00000130787","Hip1r"
"ENSMUSG00000000916",221.794464238256,0.00922516777471715,0.0295708793194012,0.311967989692637,0.755064850643901,0.999227021086989,"ENSG00000130305","Nsun5"
"ENSMUSG00000000934",252.592277606124,-0.00976406301896671,0.030206036052667,-0.323248737502073,0.746506873197124,0.999227021086989,"ENSG00000184428","Top1mt"
"ENSMUSG00000000948",1722.46585048307,-0.00558984588193078,0.0255870567145453,-0.218463809428818,0.827067753189354,0.999227021086989,"ENSG00000273173","Gm38393"
"ENSMUSG00000000957",161.305357771652,-0.0497612533837686,0.0316185330513672,-1.5738001918978,0.115533649693257,0.975960730091917,"ENSG00000157227","Mmp14"
"ENSMUSG00000000958",19.7607754013612,-0.0229402328839286,0.026986482534559,-0.850063836757947,0.395289595900515,0.998179919848107,"ENSG00000155465","Slc7a7"
"ENSMUSG00000000959",621.403483042878,-0.0131613390849282,0.0237010760967058,-0.555305549470706,0.57868568368636,0.999227021086989,"ENSG00000155463","Oxa1l"
"ENSMUSG00000000976",395.317390462036,0.00699268843024884,0.0263064012767864,0.265816990954951,0.790380156956689,0.999227021086989,"ENSG00000068097","Heatr6"
"ENSMUSG00000001016",1559.56189733392,-0.0100480331533874,0.0178269266169303,-0.563643603258273,0.572996705867407,0.999227021086989,"ENSG00000143621","Ilf2"
"ENSMUSG00000001017",2305.07870839846,-0.00707676781547545,0.0172489520498711,-0.410272333937431,0.681606184511166,0.999227021086989,"ENSG00000160679","Chtop"
"ENSMUSG00000001018",841.456771201495,-0.0260020279947991,0.0246467689857642,-1.05498728899588,0.291431138176567,0.99330427288982,"ENSG00000143553","Snapin"
"ENSMUSG00000001025",121.548469222177,0.0173786948518439,0.0318170394510012,0.546207162945107,0.584923542941215,0.999227021086989,"ENSG00000197956","S100a6"
"ENSMUSG00000001029",28.1991487641815,0.0609281607986143,0.0276091899815215,2.20680725654728,0.0273275278861531,0.875734928053396,"ENSG00000108622","Icam2"
"ENSMUSG00000001034",342.222272417233,0.0287305845390793,0.0293495329381178,0.978911132918417,0.327623890883132,0.997813948872288,"ENSG00000166484","Mapk7"
"ENSMUSG00000001036",3202.4802086515,-0.0250595274612256,0.0182758084446908,-1.37118571455073,0.170317070262153,0.975960730091917,"ENSG00000072134","Epn2"
"ENSMUSG00000001039",175.226677806564,0.00880216150241913,0.0302422017257762,0.291055577971257,0.771008813432932,0.999227021086989,"ENSG00000108641","B9d1"
"ENSMUSG00000001052",595.47982671069,-0.00441338438157157,0.0285289640518785,-0.15469837508106,0.877059111070272,0.999227021086989,"ENSG00000138802","Sec24b"
"ENSMUSG00000001053",311.607391775329,0.0120045942094423,0.0284311905760993,0.422233257425875,0.672854768785034,0.999227021086989,"ENSG00000145911","N4bp3"
"ENSMUSG00000001054",751.162014928671,-0.0206270560420761,0.0242553664002784,-0.850412057343291,0.395096034939366,0.998179919848107,"ENSG00000145916","Rmnd5b"
"ENSMUSG00000001056",343.108973921129,0.0260376410205755,0.0283611666225957,0.918073694466114,0.358580285607954,0.998179919848107,"ENSG00000145912","Nhp2"
"ENSMUSG00000001062",636.874869535278,-0.047975480505792,0.0235508742303638,-2.03709977118123,0.0416400448374489,0.920241573650245,"ENSG00000075399","Vps9d1"
"ENSMUSG00000001065",511.621797692203,0.0113409408108912,0.0253852102720675,0.446753865315433,0.655052785004503,0.999227021086989,"ENSG00000158805","Zfp276"
"ENSMUSG00000001082",215.963170558279,-0.00887710503577365,0.0306744314327161,-0.289397541246867,0.772277176341788,0.999227021086989,"ENSG00000109736","Mfsd10"
"ENSMUSG00000001089",2833.82423575825,-0.00153713371699641,0.0216935932265217,-0.0708565750701534,0.943511904536127,0.999227021086989,"ENSG00000169641","Luzp1"
"ENSMUSG00000001098",925.255008370323,-0.0152932028628566,0.0228746834816808,-0.668564567247638,0.503773281493942,0.998179919848107,"ENSG00000110906","Kctd10"
"ENSMUSG00000001100",1732.55836571769,-0.00503652499946403,0.02088928129353,-0.241105710086061,0.809473187302774,0.999227021086989,"ENSG00000004142","Poldip2"
"ENSMUSG00000001103",117.144053415315,-0.0473872334943439,0.0318104904487582,-1.48967314951266,0.136310197903019,0.975960730091917,"ENSG00000274529","Sebox"
"ENSMUSG00000001105",651.472660889217,0.0270009979548094,0.0241282047374484,1.11906369531515,0.263112966586358,0.99106628091133,"ENSG00000109083","Ift20"
"ENSMUSG00000001119",779.044338545435,0.0317051279405016,0.0302225463121676,1.04905548371142,0.294152582945451,0.99330427288982,"ENSG00000142156","Col6a1"
"ENSMUSG00000001120",573.388280903347,-0.00311482312296467,0.0269269554516825,-0.115676765928992,0.907908720718651,0.999227021086989,"ENSG00000183570","Pcbp3"
