"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hsapiens_homolog","gene"
"ENSMUSG00000000001",709.466830126141,-0.0326855833146328,0.0532816674459446,-0.61344895686294,0.539579523453593,0.999961763477988,"ENSG00000065135","Gnai3"
"ENSMUSG00000000028",35.7052219974658,-0.0763147165517476,0.0585030607468453,-1.30445681948124,0.192077873029446,0.999961763477988,"ENSG00000093009","Cdc45"
"ENSMUSG00000000037",20.6782149087156,-0.0399806826825484,0.0544466572649978,-0.734309224677616,0.462760297024631,0.999961763477988,"ENSG00000102098","Scml2"
"ENSMUSG00000000056",1268.35925335062,-0.0442365953192437,0.0482801441356891,-0.916248203296966,0.359536728312386,0.999961763477988,"ENSG00000141562","Narf"
"ENSMUSG00000000058",492.53183990125,-0.00273617619559615,0.055846064810759,-0.0489949686673181,0.960923305547891,0.999961763477988,"ENSG00000105971","Cav2"
"ENSMUSG00000000078",1120.43144304143,-0.0361021791837881,0.0547474701790958,-0.659431003216893,0.509619038837997,0.999961763477988,"ENSG00000067082","Klf6"
"ENSMUSG00000000085",658.732736354709,-0.0566150691046881,0.0574095636427008,-0.986160937523277,0.324054144476453,0.999961763477988,"ENSG00000010803","Scmh1"
"ENSMUSG00000000088",1389.58256248553,-0.0472230129453901,0.047013522923452,-1.00445595243478,0.315158892221547,0.999961763477988,"ENSG00000178741","Cox5a"
"ENSMUSG00000000093",30.6949381289388,-0.0347532463175667,0.0582704449592924,-0.596412921539302,0.550899410389939,0.999961763477988,"ENSG00000121068","Tbx2"
"ENSMUSG00000000120",60.5473401584584,-0.0590475292486416,0.0578040665371965,-1.02151168223857,0.307012077141854,0.999961763477988,"ENSG00000064300","Ngfr"
"ENSMUSG00000000125",41.9411266685813,-0.0145356934685859,0.0587989214919431,-0.247210205557556,0.804745547490679,0.999961763477988,"ENSG00000108379","Wnt3"
"ENSMUSG00000000126",253.984703261322,-0.00112297918235326,0.0614376368677886,-0.0182783589930365,0.985416791604949,0.999961763477988,"ENSG00000143816","Wnt9a"
"ENSMUSG00000000127",726.176003655739,0.0417112614400884,0.0517886536895601,0.805413125626334,0.42058131992269,0.999961763477988,"ENSG00000151422","Fer"
"ENSMUSG00000000131",1793.97547513756,0.0274041884843736,0.0446231337993705,0.614125144316067,0.539132633802366,0.999961763477988,"ENSG00000169180","Xpo6"
"ENSMUSG00000000134",379.723992279843,-0.0382736698777653,0.0582959625681214,-0.656540662366469,0.511476313556928,0.999961763477988,"ENSG00000068323","Tfe3"
"ENSMUSG00000000142",504.094973230266,0.00575507425632424,0.0569569561803582,0.101042517758505,0.919516708576817,0.999961763477988,"ENSG00000168646","Axin2"
"ENSMUSG00000000148",411.291482608575,-0.0285152638263929,0.055686430712082,-0.51206844219962,0.608603109891901,0.999961763477988,"ENSG00000106009","Brat1"
"ENSMUSG00000000149",1608.76917627985,-0.108706087926463,0.0584280250034555,-1.86051279193562,0.0628130103460497,0.999961763477988,"ENSG00000146535","Gna12"
"ENSMUSG00000000167",39.9784533638544,0.00249082171608348,0.0588266254690007,0.0423417406017287,0.966226270917464,0.999961763477988,"ENSG00000150773","Pih1d2"
"ENSMUSG00000000168",1911.50938285178,-0.0063264960852815,0.0453188000160513,-0.139599814713557,0.888976187025403,0.999961763477988,"ENSG00000150768","Dlat"
"ENSMUSG00000000171",1104.18344772299,0.00811042914947458,0.0524768329798732,0.154552565178337,0.877174068038114,0.999961763477988,"ENSG00000255292","Sdhd"
"ENSMUSG00000000184",1073.6024315912,0.0266155486863948,0.0557181779802055,0.477681605020364,0.632876838819429,0.999961763477988,"ENSG00000118971","Ccnd2"
