"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hsapiens_homolog","gene"
"ENSMUSG00000000001",809.327679353131,-0.0166707301362833,0.023718920313451,-0.702845235616787,0.482152203107282,0.989053263346263,"ENSG00000065135","Gnai3"
"ENSMUSG00000000028",49.9197633848032,-0.0121877211423832,0.0346634820431838,-0.351601178646731,0.725137381148248,0.993836893355684,"ENSG00000093009","Cdc45"
"ENSMUSG00000000037",17.3642753049658,-0.0206035721599958,0.0274442352612673,-0.750743169334148,0.452807237300667,0.983292212640473,"ENSG00000102098","Scml2"
"ENSMUSG00000000056",1412.69567569214,-0.060591581150491,0.0208853475335936,-2.90115264077032,0.0037179272495769,0.346314458382773,"ENSG00000141562","Narf"
"ENSMUSG00000000058",448.122796012464,-0.00170727070480002,0.0304877178904877,-0.0559986388923093,0.955342891468131,0.999513191808223,"ENSG00000105971","Cav2"
"ENSMUSG00000000078",899.762817372921,0.0292674377010259,0.0299050796434604,0.978677804906834,0.327739202085349,0.960940187527983,"ENSG00000067082","Klf6"
"ENSMUSG00000000085",590.705336098174,-0.00184455187848907,0.0303091656410831,-0.0608578903270381,0.951472385900701,0.999513191808223,"ENSG00000010803","Scmh1"
"ENSMUSG00000000088",1524.67059107075,-0.0225477957517567,0.0270791023103252,-0.832664077758561,0.405034209331413,0.970811384977573,"ENSG00000178741","Cox5a"
"ENSMUSG00000000093",30.0193721571919,0.0367035011474403,0.0331366239666755,1.10764153838821,0.268016656591546,0.956234215372011,"ENSG00000121068","Tbx2"
"ENSMUSG00000000120",74.2033345598429,-0.0496248514990739,0.0329201236108657,-1.50743211312532,0.131699932611625,0.912354477903707,"ENSG00000064300","Ngfr"
"ENSMUSG00000000125",101.482020530696,0.100277569466355,0.0353236237926172,2.83882452307493,0.00452800499954415,0.379446818961799,"ENSG00000108379","Wnt3"
"ENSMUSG00000000126",152.362914941382,-0.000807446460479308,0.0171706023898881,-0.0470249349524755,0.962493354290332,0.999513191808223,"ENSG00000143816","Wnt9a"
"ENSMUSG00000000127",825.635745665128,0.0219451648425421,0.0245244870074798,0.89482666185225,0.370879755494617,0.967352223117626,"ENSG00000151422","Fer"
"ENSMUSG00000000131",1710.0146770617,-0.0319593383752383,0.0246529387099111,-1.29637033342357,0.194847927752971,0.923290167223134,"ENSG00000169180","Xpo6"
"ENSMUSG00000000134",367.199847464828,-0.0202990012066176,0.0296984163162835,-0.683504500389396,0.494288107410698,0.989053263346263,"ENSG00000068323","Tfe3"
"ENSMUSG00000000142",448.776155544275,-0.0157502204071945,0.0279252256655578,-0.564014078017652,0.572744551245267,0.989053263346263,"ENSG00000168646","Axin2"
"ENSMUSG00000000148",404.558727202403,0.011236424784164,0.0294563370803892,0.381460354473087,0.702861683808951,0.991540817227617,"ENSG00000106009","Brat1"
"ENSMUSG00000000149",1558.84946934117,0.0248917456496919,0.0291285595414902,0.854547771723368,0.392801551980133,0.970686900300184,"ENSG00000146535","Gna12"
"ENSMUSG00000000167",34.7093026026757,-0.0223535634931432,0.0344170612619017,-0.649490766310362,0.5160212128556,0.989053263346263,"ENSG00000150773","Pih1d2"
"ENSMUSG00000000168",2155.0010769164,-0.00457002765223505,0.0185562015162795,-0.246280341815955,0.805465226332508,0.996079786252906,"ENSG00000150768","Dlat"
"ENSMUSG00000000171",1232.4223301852,0.00358288290861997,0.0276301071005968,0.129673145875811,0.896825029632927,0.996293024213181,"ENSG00000255292","Sdhd"
"ENSMUSG00000000184",853.455504538929,-0.0178603030147829,0.0334393888555844,-0.534109731846975,0.593265617042744,0.989053263346263,"ENSG00000118971","Ccnd2"
"ENSMUSG00000000194",1049.33420576723,-0.00695727830549649,0.0236884983480019,-0.293698579086306,0.768988240178125,0.99466647812648,"ENSG00000148358","Gpr107"
"ENSMUSG00000000197",3470.92138387981,-0.0171378757492712,0.0189054704250304,-0.90650353384389,0.364669395290966,0.966947925348192,"ENSG00000102452","Nalcn"
"ENSMUSG00000000202",339.691248660641,-0.00438587514433665,0.0332259730527132,-0.132001405568422,0.894983179995477,0.996293024213181,"ENSG00000204347","Btbd17"
"ENSMUSG00000000214",110.832877944232,0.0010126034820428,0.0126391034573983,0.0801167175706651,0.93614442678859,0.998761119864859,"ENSG00000180176","Th"
"ENSMUSG00000000223",1095.95271745975,-1.8759347465504e-05,0.0256421435115303,-0.000731582656382399,0.99941628154559,0.999748917425392,"ENSG00000102385","Drp2"
"ENSMUSG00000000247",416.95416762453,-0.00209141950884552,0.0350934754222891,-0.0595956793585962,0.952477659626572,0.999513191808223,"ENSG00000106689","Lhx2"
"ENSMUSG00000000253",768.478086250453,0.0175651857350335,0.0286149479610673,0.613846502846422,0.539316764395279,0.989053263346263,"ENSG00000137198","Gmpr"
"ENSMUSG00000000263",62.3872435491481,-0.0262802489216557,0.0194948712507488,-1.34805962981911,0.17763920444376,0.916522160872301,"ENSG00000145888","Glra1"
"ENSMUSG00000000266",574.738020057628,-0.0346237990867109,0.0283618689788416,-1.22078693447674,0.22216670198944,0.935949165318376,"ENSG00000080561","Mid2"
"ENSMUSG00000000275",91.0508172182732,-0.0341151139574434,0.0353304368170891,-0.965601250108012,0.334243749549339,0.960940187527983,"ENSG00000121060","Trim25"
"ENSMUSG00000000276",2117.35052560792,0.009907511648856,0.0186952200319556,0.529948919131263,0.596147347445888,0.989053263346263,"ENSG00000153933","Dgke"
"ENSMUSG00000000278",175.35864943199,0.0170918571788356,0.0325761421056632,0.52467407354121,0.599809783484041,0.989053263346263,"ENSG00000121064","Scpep1"
"ENSMUSG00000000282",221.603643575496,-0.0104001557626245,0.0353455134751162,-0.294242599416368,0.768572531010279,0.99466647812648,"ENSG00000070444","Mnt"
"ENSMUSG00000000290",75.8002883399406,0.00963769132605261,0.0353537710092357,0.272607166107822,0.785155202764225,0.996079786252906,"ENSG00000160255","Itgb2"
"ENSMUSG00000000295",143.843175349914,0.00419166520404971,0.0326621895182644,0.128333870627558,0.897884761827343,0.996293024213181,"ENSG00000111906","Hddc2"
"ENSMUSG00000000296",288.78188130556,0.0127101219224373,0.033713299349174,0.377006171683067,0.706169018425453,0.991750181449864,"ENSG00000111907","Tpd52l1"
"ENSMUSG00000000301",29.9520612145415,0.0448321090728137,0.0339637496612271,1.31999880814084,0.186835415918141,0.922646379172646,"ENSG00000133027","Pemt"
"ENSMUSG00000000303",62.454371377442,0.0173763723190218,0.0165556358509944,1.04957444554919,0.293913811201071,0.956234215372011,"ENSG00000039068","Cdh1"
"ENSMUSG00000000305",272.009997657998,-0.0306647083625545,0.0339147904158842,-0.904169183607649,0.365905697983799,0.966947925348192,"ENSG00000179242","Cdh4"
"ENSMUSG00000000308",3675.42363928653,0.0254849181105236,0.0216172626019766,1.17891513739549,0.238431969442722,0.941446960270934,"ENSG00000223572","Ckmt1"
"ENSMUSG00000000317",33.5710649404899,-0.0191122395994518,0.0344674738587544,-0.55450073532434,0.579236202569097,0.989053263346263,"ENSG00000161940","Bcl6b"
"ENSMUSG00000000320",11.1131979547242,-0.00526308365724956,0.0255749117864488,-0.205790882142485,0.836954263762967,0.996293024213181,"ENSG00000108839","Alox12"
"ENSMUSG00000000325",271.113151704691,0.0144515866847,0.031442450990073,0.459620234098883,0.645788832894648,0.989053263346263,"ENSG00000099889","Arvcf"
"ENSMUSG00000000326",358.800642948126,-0.000369828978637429,0.0312481903127849,-0.0118352126934569,0.990557086966948,0.999513191808223,"ENSG00000093010","Comt"
"ENSMUSG00000000339",711.296033064561,0.0790421381469333,0.0241520771881719,3.2726848929434,0.0010653117082853,0.158310587023709,"ENSG00000137996","Rtca"
"ENSMUSG00000000340",338.991582526773,0.0301277559094314,0.0297446588412916,1.01287952469665,0.311117709537029,0.959364409979248,"ENSG00000137992","Dbt"
"ENSMUSG00000000346",1055.28465380928,-0.00149821655232393,0.0217861102334082,-0.0687693459857038,0.945173218662214,0.999151605326709,"ENSG00000183283","Dazap2"
"ENSMUSG00000000355",494.939474368366,0.0124746967171648,0.0278176713586689,0.448445038994153,0.653832043225423,0.990708348653655,"ENSG00000232119","Mcts1"
"ENSMUSG00000000365",35.7561627138667,-0.000609679982066641,0.0303836015287871,-0.0200660866845886,0.983990653600621,0.999513191808223,"ENSG00000132972","Rnf17"
"ENSMUSG00000000374",2570.15381083153,-0.00676371289404218,0.0189076921853889,-0.357722816075295,0.720550756739594,0.9936177952078,"ENSG00000160218","Trappc10"
