"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hsapiens_homolog","gene"
"ENSMUSG00000000001",919.752215521165,-0.0385355826630792,0.038803101914489,-0.99310572510416,0.32065843427172,0.999882305699934,"ENSG00000065135","Gnai3"
"ENSMUSG00000000028",69.9325358214027,-0.0350909762566585,0.0470783597896751,-0.745373806849455,0.456045773868099,0.999882305699934,"ENSG00000093009","Cdc45"
"ENSMUSG00000000037",11.8990015085216,-0.0178671464505039,0.0247025641067,-0.723291168209449,0.469501017648873,0.999882305699934,"ENSG00000102098","Scml2"
"ENSMUSG00000000056",1624.32204530555,-0.0843552887951653,0.0362582049030979,-2.32651586090954,0.0199910473296638,0.999882305699934,"ENSG00000141562","Narf"
"ENSMUSG00000000058",246.663025183999,-0.0347866456513385,0.0489968083068927,-0.709977789439906,0.477717909513749,0.999882305699934,"ENSG00000105971","Cav2"
"ENSMUSG00000000078",735.146286765788,-0.0433219717632305,0.0418927847746277,-1.03411534936843,0.301082241343326,0.999882305699934,"ENSG00000067082","Klf6"
"ENSMUSG00000000085",591.219083583221,-0.0426176949015228,0.0425296137512028,-1.0020710545559,0.316309276596392,0.999882305699934,"ENSG00000010803","Scmh1"
"ENSMUSG00000000088",1675.20973485053,-0.0781455220174954,0.0408207458847559,-1.91435801389112,0.0555744264244704,0.999882305699934,"ENSG00000178741","Cox5a"
"ENSMUSG00000000093",27.5939817193156,-0.0475409232900914,0.0383810363461633,-1.23865658189409,0.215472704287227,0.999882305699934,"ENSG00000121068","Tbx2"
"ENSMUSG00000000120",111.571190443297,-0.0314760229753904,0.0484541381056597,-0.649604434336515,0.515947768007885,0.999882305699934,"ENSG00000064300","Ngfr"
"ENSMUSG00000000125",232.993803017213,0.0314577325232592,0.0487773325888796,0.644925231734198,0.51897563965655,0.999882305699934,"ENSG00000108379","Wnt3"
"ENSMUSG00000000126",18.88953210953,-0.0510580520281074,0.0366661761776012,-1.39251095562286,0.163767726419679,0.999882305699934,"ENSG00000143816","Wnt9a"
"ENSMUSG00000000127",846.121702144989,-0.016235706731523,0.0397868383232531,-0.408067275907022,0.683224284056194,0.999882305699934,"ENSG00000151422","Fer"
"ENSMUSG00000000131",1524.72412999033,-0.0464400398200657,0.0412911176267372,-1.12469805830575,0.260717004792032,0.999882305699934,"ENSG00000169180","Xpo6"
"ENSMUSG00000000134",361.616298672016,0.0707600350369904,0.0460045567184002,1.53810926752586,0.124021900406651,0.999882305699934,"ENSG00000068323","Tfe3"
