"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hsapiens_homolog","gene"
"ENSMUSG00000000001",709.466830126141,0.00109952534975823,0.0488137347653369,0.0225249175266755,0.982029235728454,0.998567278816395,"ENSG00000065135","Gnai3"
"ENSMUSG00000000028",35.7052219974658,0.0202329875535939,0.0584774435773475,0.345996444369733,0.72934538688805,0.998567278816395,"ENSG00000093009","Cdc45"
"ENSMUSG00000000037",20.6782149087156,-0.132512495836115,0.0543351817591749,-2.43879732331509,0.0147362305927979,0.817869581803035,"ENSG00000102098","Scml2"
"ENSMUSG00000000056",1268.35925335062,-0.0538007660911995,0.0409930996461924,-1.31243469158343,0.189373508094941,0.998567278816395,"ENSG00000141562","Narf"
"ENSMUSG00000000058",492.53183990125,0.0425467828663433,0.0527777432914804,0.806150096857427,0.420156308734731,0.998567278816395,"ENSG00000105971","Cav2"
"ENSMUSG00000000078",1120.43144304143,0.0621621635218966,0.0575621262389506,1.07991430448296,0.280180342756853,0.998567278816395,"ENSG00000067082","Klf6"
"ENSMUSG00000000085",658.732736354709,0.0354067608197351,0.0583694559880258,0.606597409902169,0.544118119564594,0.998567278816395,"ENSG00000010803","Scmh1"
"ENSMUSG00000000088",1389.58256248553,0.0646478546157533,0.0450991241475885,1.43346142164958,0.151726016211441,0.998567278816395,"ENSG00000178741","Cox5a"
"ENSMUSG00000000093",30.6949381289388,0.0660966658905918,0.0594764089663581,1.11130895491653,0.266435386173114,0.998567278816395,"ENSG00000121068","Tbx2"
"ENSMUSG00000000120",60.5473401584584,-0.112079534168712,0.0558912343160791,-2.00531506487894,0.0449293752974132,0.998567278816395,"ENSG00000064300","Ngfr"
"ENSMUSG00000000125",41.9411266685813,0.100023573287135,0.0579496675802093,1.72604222705316,0.0843398161817578,0.998567278816395,"ENSG00000108379","Wnt3"
"ENSMUSG00000000126",253.984703261322,0.131743428182313,0.0627244352659417,2.10035255995118,0.0356978388954407,0.995021308954356,"ENSG00000143816","Wnt9a"
"ENSMUSG00000000127",726.176003655739,0.0198744722263216,0.0466523113036202,0.426012595538419,0.670098667997566,0.998567278816395,"ENSG00000151422","Fer"
"ENSMUSG00000000131",1793.97547513756,-0.027345253925693,0.0455207463548848,-0.600720684861059,0.548026039516922,0.998567278816395,"ENSG00000169180","Xpo6"
"ENSMUSG00000000134",379.723992279843,-0.051248598599573,0.0566485804082335,-0.904675778814826,0.365637176504024,0.998567278816395,"ENSG00000068323","Tfe3"
"ENSMUSG00000000142",504.094973230266,0.0120318235685248,0.0539981164120159,0.222819319783671,0.823676130972164,0.998567278816395,"ENSG00000168646","Axin2"
"ENSMUSG00000000148",411.291482608575,0.0248938242990733,0.0534818622345366,0.465462930028599,0.641599977614244,0.998567278816395,"ENSG00000106009","Brat1"
"ENSMUSG00000000149",1608.76917627985,0.0639229856759257,0.0581805970277714,1.09869937645042,0.271899214645562,0.998567278816395,"ENSG00000146535","Gna12"
"ENSMUSG00000000167",39.9784533638544,-0.0574385825756454,0.0601168442111063,-0.955449064723758,0.339350651850391,0.998567278816395,"ENSG00000150773","Pih1d2"
"ENSMUSG00000000168",1911.50938285178,0.0257397573613564,0.0379778686632526,0.677756763803394,0.497925928934236,0.998567278816395,"ENSG00000150768","Dlat"
"ENSMUSG00000000171",1104.18344772299,0.0162974524939827,0.0550892442080583,0.295837285994182,0.767354346699019,0.998567278816395,"ENSG00000255292","Sdhd"
"ENSMUSG00000000184",1073.6024315912,-0.000377661954892456,0.0532253562931382,-0.00709552704189495,0.994338636027533,0.999849118338594,"ENSG00000118971","Ccnd2"
"ENSMUSG00000000194",956.026536963317,0.0309370823071826,0.0479262888970979,0.645513830073663,0.518594258787526,0.998567278816395,"ENSG00000148358","Gpr107"
"ENSMUSG00000000197",3660.36875249981,-0.058638198467413,0.0377733253756242,-1.55237056532103,0.12057358222617,0.998567278816395,"ENSG00000102452","Nalcn"
"ENSMUSG00000000202",243.716560936739,0.0451120781291345,0.0615284477502343,0.733190577344976,0.463442201553017,0.998567278816395,"ENSG00000204347","Btbd17"
"ENSMUSG00000000214",60.7327104248169,-0.041350490411956,0.0623593359091342,-0.663100236862835,0.507266358974209,0.998567278816395,"ENSG00000180176","Th"
"ENSMUSG00000000223",1441.89402050409,0.0621140430814183,0.0471990950136072,1.31600072127466,0.188173800581471,0.998567278816395,"ENSG00000102385","Drp2"
"ENSMUSG00000000247",470.176454047821,0.039179028887429,0.0624759667293686,0.627105604578213,0.530590013571278,0.998567278816395,"ENSG00000106689","Lhx2"
"ENSMUSG00000000253",762.018242082858,0.0333904524000738,0.053824923148877,0.620352997211301,0.535025410332177,0.998567278816395,"ENSG00000137198","Gmpr"
"ENSMUSG00000000263",9.93747429339619,-0.042994854296994,0.0430769173822471,-0.998094963840497,0.318233311973028,0.998567278816395,"ENSG00000145888","Glra1"
"ENSMUSG00000000266",572.499891157269,-0.0808759051777891,0.0519762539392133,-1.55601643151071,0.119704185137347,0.998567278816395,"ENSG00000080561","Mid2"
"ENSMUSG00000000275",91.1290773843628,0.00659263676836332,0.0631239866475117,0.104439486770331,0.916820588093342,0.998567278816395,"ENSG00000121060","Trim25"
"ENSMUSG00000000276",2172.52883145584,0.0223482647864592,0.0410392866785768,0.544557827271529,0.58605766645664,0.998567278816395,"ENSG00000153933","Dgke"
"ENSMUSG00000000278",172.475130510515,-0.0255199243900402,0.0587209164280208,-0.434596834354963,0.663855093230356,0.998567278816395,"ENSG00000121064","Scpep1"
"ENSMUSG00000000282",229.424311666449,-0.00339256179406969,0.0629848520869345,-0.0538631382254756,0.957044205445234,0.998567278816395,"ENSG00000070444","Mnt"
"ENSMUSG00000000290",81.2444058537095,0.117014015451237,0.0630855686184727,1.85484601333962,0.0636182191533276,0.998567278816395,"ENSG00000160255","Itgb2"
"ENSMUSG00000000295",150.421530057547,-0.0839522588684006,0.060060798318607,-1.39778792854293,0.162176760409483,0.998567278816395,"ENSG00000111906","Hddc2"
"ENSMUSG00000000296",354.180934762641,0.0120602659885661,0.0606233458485907,0.198937650499976,0.842311517257704,0.998567278816395,"ENSG00000111907","Tpd52l1"
"ENSMUSG00000000301",28.0974566010921,0.00634184924817794,0.0594781199164453,0.106624911094819,0.915086555046025,0.998567278816395,"ENSG00000133027","Pemt"
"ENSMUSG00000000303",9.61400870078148,0.0371462051210841,0.0327356405206566,1.13473280284968,0.256487288777358,0.998567278816395,"ENSG00000039068","Cdh1"
"ENSMUSG00000000305",361.603543095946,-0.0164102997403037,0.0622942790711364,-0.263431891098124,0.792217712853517,0.998567278816395,"ENSG00000179242","Cdh4"
"ENSMUSG00000000308",3570.49943920949,0.0248374975966019,0.0391312813331445,0.634722318064355,0.525609535151629,0.998567278816395,"ENSG00000223572","Ckmt1"
"ENSMUSG00000000317",25.7840969718454,0.00404965493309542,0.0576892331250359,0.070197759854394,0.944036257306074,0.998567278816395,"ENSG00000161940","Bcl6b"
"ENSMUSG00000000320",9.78935360743773,0.013994349953438,0.03667069175925,0.381622196966273,0.702741617355066,0.998567278816395,"ENSG00000108839","Alox12"
"ENSMUSG00000000325",261.857358984893,-0.0174956867669389,0.0576387729322287,-0.303540236491679,0.76147818863877,0.998567278816395,"ENSG00000099889","Arvcf"
"ENSMUSG00000000326",402.220407435914,0.030677992664587,0.0581799221212244,0.52729518270351,0.597988619044662,0.998567278816395,"ENSG00000093010","Comt"
"ENSMUSG00000000339",709.170595269681,0.0881313048279022,0.0453618812508593,1.94284942329707,0.0520343543390256,0.998567278816395,"ENSG00000137996","Rtca"
"ENSMUSG00000000340",305.529630277057,-0.0359226928322208,0.0564547417814783,-0.636309576461588,0.524574664365454,0.998567278816395,"ENSG00000137992","Dbt"
"ENSMUSG00000000346",949.830005222231,0.0145941666851736,0.0501237116386611,0.291162928842581,0.770926713353073,0.998567278816395,"ENSG00000183283","Dazap2"
"ENSMUSG00000000355",497.555465193482,-0.0244040959687948,0.049642057741639,-0.491601216367891,0.623001283382145,0.998567278816395,"ENSG00000232119","Mcts1"
"ENSMUSG00000000365",37.1469311725258,0.0256735879356225,0.053011519201028,0.484302059676204,0.628171514417827,0.998567278816395,"ENSG00000132972","Rnf17"
"ENSMUSG00000000374",2620.34298546648,0.0160854032100462,0.0384738282394728,0.418086890390158,0.675883589532099,0.998567278816395,"ENSG00000160218","Trappc10"
"ENSMUSG00000000378",707.440366958973,0.0413610647375103,0.0591228514535927,0.699578313978578,0.484190689547133,0.998567278816395,"ENSG00000136280","Ccm2"
"ENSMUSG00000000384",358.826412190943,-0.0188016358613568,0.0525622540058852,-0.357702237412643,0.720566158537764,0.998567278816395,"ENSG00000136270","Tbrg4"
"ENSMUSG00000000392",76.8979438046958,0.119929635959587,0.0616993269541709,1.9437754328936,0.05192253754683,0.998567278816395,"ENSG00000078098","Fap"
"ENSMUSG00000000399",1499.92499784543,0.0165157135349913,0.0502574945595898,0.328621903652772,0.742441490064492,0.998567278816395,"ENSG00000255639","Ndufa9"
"ENSMUSG00000000402",17.6511100755717,-0.0455470623508589,0.0534502899250499,-0.852138733292687,0.394137096254331,0.998567278816395,"ENSG00000198759","Egfl6"
"ENSMUSG00000000409",21.2431983490695,-0.0574884522660666,0.052741081704681,-1.09001276439433,0.275707521367911,0.998567278816395,"ENSG00000182866","Lck"
"ENSMUSG00000000416",2446.55797271322,0.0188115199424772,0.052748474491794,0.356626805300383,0.721371207567721,0.998567278816395,"ENSG00000077063","Cttnbp2"
"ENSMUSG00000000420",1006.49189131603,-0.0378141365339068,0.0480143705802795,-0.787558726208479,0.430954864969839,0.998567278816395,"ENSG00000141429","Galnt1"
"ENSMUSG00000000439",709.025917623251,-0.0397920562047655,0.0497637959375091,-0.799618587270441,0.42393181497106,0.998567278816395,"ENSG00000075975","Mkrn2"
"ENSMUSG00000000440",83.078371011403,0.131034464717321,0.0631473540435448,2.0750586735109,0.0379810972484231,0.998567278816395,"ENSG00000132170","Pparg"
"ENSMUSG00000000441",1552.20375419461,-0.0450348427420028,0.0394390409454562,-1.14188483447875,0.25350189321542,0.998567278816395,"ENSG00000132155","Raf1"
"ENSMUSG00000000486",22.1140205243714,0.0347503672077976,0.0565975280947202,0.613990899914219,0.539221340647021,0.998567278816395,"ENSG00000180096","Sept1"
