"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hsapiens_homolog","gene"
"ENSMUSG00000000001",709.466830126141,0.0169658856767114,0.0486357558345978,0.34883565363741,0.727212694991501,0.932832261223753,"ENSG00000065135","Gnai3"
"ENSMUSG00000000028",35.7052219974658,0.0922414983183636,0.0608528567721615,1.51581212799465,0.12956686448468,NA,"ENSG00000093009","Cdc45"
"ENSMUSG00000000037",20.6782149087156,0.0444085972902948,0.056155560809846,0.790813886458569,0.429052605309946,NA,"ENSG00000102098","Scml2"
"ENSMUSG00000000056",1268.35925335062,0.0491789859432591,0.0402893036635782,1.22064621304729,0.222220000928691,0.709435296460341,"ENSG00000141562","Narf"
"ENSMUSG00000000058",492.53183990125,0.0410275207644989,0.0530499590700834,0.773375163405842,0.439300384319625,NA,"ENSG00000105971","Cav2"
"ENSMUSG00000000078",1120.43144304143,0.0455627906022321,0.0584765079020818,0.779164013667274,0.435883105545979,0.827232413763305,"ENSG00000067082","Klf6"
"ENSMUSG00000000085",658.732736354709,-0.0107821306111556,0.0594314313128588,-0.181421351849938,0.856036860603765,0.965433531005703,"ENSG00000010803","Scmh1"
"ENSMUSG00000000088",1389.58256248553,0.116300458303468,0.0444742797459382,2.6150048740045,0.00892261822127761,0.328105837106179,"ENSG00000178741","Cox5a"
"ENSMUSG00000000093",30.6949381289388,0.0451016346631332,0.0619491470638875,0.728042867428351,0.466587345548066,NA,"ENSG00000121068","Tbx2"
"ENSMUSG00000000120",60.5473401584584,0.0535071434626006,0.0583400572418079,0.917159598264092,0.359059014431532,NA,"ENSG00000064300","Ngfr"
"ENSMUSG00000000125",41.9411266685813,0.00579278562703939,0.0606526732502374,0.0955075071982375,0.92391172763824,NA,"ENSG00000108379","Wnt3"
"ENSMUSG00000000126",253.984703261322,0.0366103592981938,0.0649343881721119,0.563805409256436,0.572886570077021,NA,"ENSG00000143816","Wnt9a"
"ENSMUSG00000000127",726.176003655739,-0.0670859132666801,0.0460818609151261,-1.45579870114706,0.145448274938561,0.63736634430631,"ENSG00000151422","Fer"
"ENSMUSG00000000131",1793.97547513756,0.00499505857668081,0.0447946024333754,0.11151027814367,0.911211715651966,0.974510313954474,"ENSG00000169180","Xpo6"
"ENSMUSG00000000134",379.723992279843,0.0253700042957046,0.0576119718913347,0.440359936708233,0.659676436693821,NA,"ENSG00000068323","Tfe3"
"ENSMUSG00000000142",504.094973230266,0.0165409511918291,0.0544196390943317,0.303951872285607,0.761164557753054,NA,"ENSG00000168646","Axin2"
"ENSMUSG00000000148",411.291482608575,0.0722709193528407,0.053987588424584,1.33865804089021,0.18068202177629,NA,"ENSG00000106009","Brat1"
"ENSMUSG00000000149",1608.76917627985,0.109482667460779,0.0592357478738201,1.84825331646004,0.0645657057074936,0.551264100135913,"ENSG00000146535","Gna12"
"ENSMUSG00000000167",39.9784533638544,-0.00113496556640108,0.0625532801335589,-0.0181439816421743,0.985523991440731,NA,"ENSG00000150773","Pih1d2"
"ENSMUSG00000000168",1911.50938285178,0.0163391174276264,0.0368595804193205,0.443280071062937,0.657563168765407,0.908034177334451,"ENSG00000150768","Dlat"
"ENSMUSG00000000171",1104.18344772299,0.087929860867485,0.0555959448524887,1.58158766976237,0.113743730666948,0.602977840582074,"ENSG00000255292","Sdhd"
"ENSMUSG00000000184",1073.6024315912,-0.0587756345326641,0.053393371543492,-1.10080395437827,0.270981990349612,0.748361516807231,"ENSG00000118971","Ccnd2"
"ENSMUSG00000000194",956.026536963317,0.105451762146164,0.0476420058593606,2.21341986434111,0.0268687124050093,0.445229490962193,"ENSG00000148358","Gpr107"
"ENSMUSG00000000197",3660.36875249981,-0.0617971148007511,0.0365126432797051,-1.6924853762943,0.0905534660564214,0.593511654719415,"ENSG00000102452","Nalcn"
"ENSMUSG00000000202",243.716560936739,0.106767461489604,0.063414975719635,1.6836316702483,0.0922528741885439,NA,"ENSG00000204347","Btbd17"
"ENSMUSG00000000214",60.7327104248169,0.0236743534243685,0.0648358275885902,0.36514307451417,0.715004608629905,NA,"ENSG00000180176","Th"
"ENSMUSG00000000223",1441.89402050409,-0.0239971800177396,0.0465658516805183,-0.515338582925119,0.606316441999151,0.893635830163299,"ENSG00000102385","Drp2"
"ENSMUSG00000000247",470.176454047821,0.00878730629072514,0.064661387001151,0.135897274993014,0.891902489732034,NA,"ENSG00000106689","Lhx2"
"ENSMUSG00000000253",762.018242082858,0.0877779946730981,0.0542087706393435,1.61925816870289,0.105391727061674,0.59975467993034,"ENSG00000137198","Gmpr"
"ENSMUSG00000000263",9.93747429339619,0.019133100253355,0.044709348160511,0.427944066298289,0.66869184349716,NA,"ENSG00000145888","Glra1"
"ENSMUSG00000000266",572.499891157269,-0.117070156264507,0.0520182112788231,-2.2505609744441,0.0244133575089199,NA,"ENSG00000080561","Mid2"
"ENSMUSG00000000275",91.1290773843628,0.0143342664491962,0.0654819002532292,0.218904252835719,0.826724633529333,NA,"ENSG00000121060","Trim25"
"ENSMUSG00000000276",2172.52883145584,-0.0542158867607801,0.0399336885957642,-1.35764785741658,0.174575449542074,0.667718428874118,"ENSG00000153933","Dgke"
"ENSMUSG00000000278",172.475130510515,-0.0315502595110944,0.0600455150268063,-0.525439068963091,0.599278000076625,NA,"ENSG00000121064","Scpep1"
"ENSMUSG00000000282",229.424311666449,-0.0149930258631969,0.0655466431172552,-0.228738271712498,0.819072346742649,NA,"ENSG00000070444","Mnt"
"ENSMUSG00000000290",81.2444058537095,0.0742361681181637,0.0652392226971109,1.13790699902761,0.255159318407478,NA,"ENSG00000160255","Itgb2"
"ENSMUSG00000000295",150.421530057547,-0.079487602114157,0.0615409560792366,-1.29162117682757,0.196488366635877,NA,"ENSG00000111906","Hddc2"
"ENSMUSG00000000296",354.180934762641,-0.0747644257596794,0.0621829040676812,-1.20233087985573,0.229235357369821,NA,"ENSG00000111907","Tpd52l1"
"ENSMUSG00000000301",28.0974566010921,0.0505343673629736,0.0617983916323515,0.817729491466552,0.413511666700719,NA,"ENSG00000133027","Pemt"
