"","gene","log2FoldChange","pvalue","padj","hsapiens_homolog"
"ENSMUSG00000080242","Gm15487",1.5,3.6e-244,6.1e-240,""
"ENSMUSG00000096403","Gm9825",0.73,1.2e-70,1e-66,""
"ENSMUSG00000033450","Tagap",0.49,1.2e-32,5e-29,"ENSG00000164691"
"ENSMUSG00000061897","Gm14292",0.31,3.3e-23,1.1e-19,""
"ENSMUSG00000035868","3110052M02Rik",0.3,3.3e-11,5.1e-08,""
"ENSMUSG00000067928","Zfp760",0.27,2.1e-09,2.5e-06,""
"ENSMUSG00000078249","Hmga1-rs1",0.26,3.2e-18,7.8e-15,"ENSG00000137309"
"ENSMUSG00000024114","Prss41",0.24,1.5e-16,3e-13,""
"ENSMUSG00000073437","D330041H03Rik",0.23,9.8e-08,0.00011,""
"ENSMUSG00000036552","Ermard",0.2,6.5e-06,0.0054,"ENSG00000130023"
"ENSMUSG00000041596","Nlrp5-ps",0.17,5.4e-05,0.036,""
"ENSMUSG00000083563","Gm13340",0.17,0.00013,0.077,""
"ENSMUSG00000024130","Abca3",0.15,1.3e-06,0.0012,"ENSG00000167972"
"ENSMUSG00000024011","Pi16",0.11,6.2e-05,0.04,"ENSG00000164530"
