"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hsapiens_homolog","gene"
"ENSMUSG00000000001",809.327679353131,-0.0166708725463545,0.0237187897478911,-0.702855108694437,0.482146049606895,0.989047149646427,"ENSG00000065135","Gnai3"
"ENSMUSG00000000028",49.9197633848032,-0.0121881846706198,0.0346635514214139,-0.351613847134266,0.725127879052881,0.993915895760877,"ENSG00000093009","Cdc45"
"ENSMUSG00000000037",17.3642753049658,-0.0206037205520746,0.0274442805840627,-0.750747336552138,0.452804728893155,0.983286765515583,"ENSG00000102098","Scml2"
"ENSMUSG00000000056",1412.69567569214,-0.0605916756985862,0.0208852305987649,-2.90117341113626,0.00371768080978009,0.34630036294806,"ENSG00000141562","Narf"
"ENSMUSG00000000058",448.122796012464,-0.00170766980551263,0.0304876054711195,-0.0560119359695299,0.955332298561361,0.999507564929173,"ENSG00000105971","Cav2"
"ENSMUSG00000000078",899.762817372921,0.0292671386539888,0.0299049802642601,0.978671057307684,0.327742537155075,0.960936462919397,"ENSG00000067082","Klf6"
"ENSMUSG00000000085",590.705336098174,-0.00184452577865143,0.0303090612926021,-0.060857238726217,0.951472904841061,0.999507564929173,"ENSG00000010803","Scmh1"
"ENSMUSG00000000088",1524.67059107075,-0.0225477779893732,0.0270790030874612,-0.832666472858958,0.40503285816522,0.970805818216735,"ENSG00000178741","Cox5a"
"ENSMUSG00000000093",30.0193721571919,0.0367034852008588,0.0331367218976976,1.10763778367012,0.268018278800944,0.956253366024532,"ENSG00000121068","Tbx2"
"ENSMUSG00000000120",74.2033345598429,-0.0496246967572927,0.0329201839199965,-1.5074246510254,0.131701844086919,0.912342411220335,"ENSG00000064300","Ngfr"
"ENSMUSG00000000125",101.482020530696,0.100277865851987,0.0353236605084128,2.83882996293957,0.00452792781123206,0.379440350581246,"ENSG00000108379","Wnt3"
