"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hsapiens_homolog","gene"
"ENSMUSG00000000001",809.692164900854,0.00137572065930955,0.0396903734394192,0.0346613181004549,0.972349806064026,0.999828490610683,"ENSG00000065135","Gnai3"
"ENSMUSG00000000028",45.0160956561391,-0.00782712833357302,0.0415913880303709,-0.188191082438929,0.85072686278022,0.999828490610683,"ENSG00000093009","Cdc45"
"ENSMUSG00000000037",19.5405804049005,-0.0127212652964448,0.0358883127638128,-0.354468190805337,0.722988038541643,0.999828490610683,"ENSG00000102098","Scml2"
"ENSMUSG00000000056",1360.86556307286,-0.00325383874588458,0.0350159649690967,-0.0929244345759499,0.925963593747798,0.999828490610683,"ENSG00000141562","Narf"
"ENSMUSG00000000058",611.648755970013,0.043328274889181,0.0418305936861726,1.03580348905025,0.300293829515309,0.999828490610683,"ENSG00000105971","Cav2"
"ENSMUSG00000000078",836.536615693401,0.0187361927748277,0.0432048945041509,0.433659033076164,0.664536059760248,0.999828490610683,"ENSG00000067082","Klf6"
"ENSMUSG00000000085",520.6068299008,-0.000923987194031981,0.0450127737805037,-0.0205272218623458,0.983622796742992,0.999828490610683,"ENSG00000010803","Scmh1"
"ENSMUSG00000000088",1527.24113014042,-0.0352011676522309,0.040266602808497,-0.874202569798185,0.382007946812343,0.999828490610683,"ENSG00000178741","Cox5a"
"ENSMUSG00000000093",32.0282259472639,-0.032431848329291,0.0401200393327693,-0.808370302438893,0.418877442595402,0.999828490610683,"ENSG00000121068","Tbx2"
"ENSMUSG00000000120",51.0032521512194,-0.0258027052726328,0.0417807503909682,-0.617574003127779,0.53685618567796,0.999828490610683,"ENSG00000064300","Ngfr"
"ENSMUSG00000000125",30.9033111986234,-0.0222846699392197,0.040018064815487,-0.556865256777623,0.577619493981502,0.999828490610683,"ENSG00000108379","Wnt3"
"ENSMUSG00000000126",181.042332757104,-0.0170178494231161,0.0475965500206547,-0.357543759279426,0.720684772969704,0.999828490610683,"ENSG00000143816","Wnt9a"
"ENSMUSG00000000127",918.693993642231,0.0566372134199157,0.0395509713150315,1.43200562557083,0.152142211348032,0.999828490610683,"ENSG00000151422","Fer"
"ENSMUSG00000000131",1822.93352873526,-0.0671648278222346,0.0365453500693189,-1.83784880141624,0.0660846882126817,0.999828490610683,"ENSG00000169180","Xpo6"
"ENSMUSG00000000134",362.055303384404,0.00130251527209139,0.0442696334020242,0.029422318912445,0.976527772590592,0.999828490610683,"ENSG00000068323","Tfe3"
"ENSMUSG00000000142",460.300050215964,0.0663720319237178,0.0438932699043651,1.51212320404312,0.130502522850027,0.999828490610683,"ENSG00000168646","Axin2"
"ENSMUSG00000000148",428.11501964725,-0.00882785834474093,0.0444963579360558,-0.198395076680818,0.842735969128987,0.999828490610683,"ENSG00000106009","Brat1"
"ENSMUSG00000000149",1743.47505495569,-0.00849831655262359,0.038271338964288,-0.222054330541024,0.82427158925088,0.999828490610683,"ENSG00000146535","Gna12"
"ENSMUSG00000000167",41.8864142097697,0.0327549238999262,0.0428192255417813,0.764958344890316,0.444296349398353,0.999828490610683,"ENSG00000150773","Pih1d2"
"ENSMUSG00000000168",2651.37846737156,0.00350008997016955,0.031088719391446,0.112583922357786,0.910360432099677,0.999828490610683,"ENSG00000150768","Dlat"
"ENSMUSG00000000171",1275.22032176869,-0.0640295690643285,0.0401331859694334,-1.59542701426932,0.110616779058212,0.999828490610683,"ENSG00000255292","Sdhd"
"ENSMUSG00000000184",1379.22215965479,0.0389564727902423,0.0384127945828423,1.01415357079078,0.310509479130043,0.999828490610683,"ENSG00000118971","Ccnd2"
"ENSMUSG00000000194",1079.74990098435,-0.0072487228764752,0.0356574004674253,-0.203288035062939,0.838909906916095,0.999828490610683,"ENSG00000148358","Gpr107"
"ENSMUSG00000000197",3819.89108803085,-0.00719979143202734,0.0285477690642067,-0.252201543869656,0.80088528480398,0.999828490610683,"ENSG00000102452","Nalcn"
"ENSMUSG00000000202",207.832553875102,-0.070853085392423,0.047249587830838,-1.49954927958503,0.133731194458619,0.999828490610683,"ENSG00000204347","Btbd17"
"ENSMUSG00000000214",11.8385175843632,-0.00853464928763644,0.0274438308013416,-0.310986077323404,0.755811205904298,0.999828490610683,"ENSG00000180176","Th"
"ENSMUSG00000000223",1389.10435640816,0.0430096213439451,0.0360068669339284,1.19448385839475,0.232288751139298,0.999828490610683,"ENSG00000102385","Drp2"
"ENSMUSG00000000247",778.695263842536,-0.0180240228076743,0.0369839384679917,-0.487347306811941,0.626012228443159,0.999828490610683,"ENSG00000106689","Lhx2"
"ENSMUSG00000000253",1064.82865210401,0.0183534319179904,0.0417659692122985,0.439435077507694,0.66034631443543,0.999828490610683,"ENSG00000137198","Gmpr"
"ENSMUSG00000000263",2.12075530507402,0.00908448669942014,0.0128145397413595,0.708920248621925,0.478373968811418,0.999828490610683,"ENSG00000145888","Glra1"
"ENSMUSG00000000266",505.084533035372,0.0976064309680705,0.0434607052604375,2.24585474126951,0.0247133136355463,0.999828490610683,"ENSG00000080561","Mid2"
"ENSMUSG00000000275",91.2230848421255,0.0233111390895652,0.0460466980929714,0.506249960474874,0.612681186313529,0.999828490610683,"ENSG00000121060","Trim25"
"ENSMUSG00000000276",2310.26926083504,-0.0101857687216104,0.030728157240326,-0.331479972650072,0.740281966221758,0.999828490610683,"ENSG00000153933","Dgke"
"ENSMUSG00000000278",161.056662574285,-0.0724314746268203,0.0474152935559371,-1.52759730447247,0.126612551444709,0.999828490610683,"ENSG00000121064","Scpep1"
"ENSMUSG00000000282",229.819629662508,-0.0181739918838947,0.0476273595810565,-0.381587223053266,0.702767562902461,0.999828490610683,"ENSG00000070444","Mnt"
"ENSMUSG00000000290",93.7122588800001,0.0192136732778297,0.0474641165791308,0.40480419025175,0.685621448464167,0.999828490610683,"ENSG00000160255","Itgb2"
"ENSMUSG00000000295",184.160495825907,-0.00401429759865309,0.0469610197969135,-0.0854814826426945,0.93187861629303,0.999828490610683,"ENSG00000111906","Hddc2"
"ENSMUSG00000000296",396.21189800575,0.0304744806736462,0.0431057555525604,0.70697010835334,0.479585053848967,0.999828490610683,"ENSG00000111907","Tpd52l1"
"ENSMUSG00000000301",31.5085154293643,-0.0354299594766757,0.0402513363409773,-0.880218216273399,0.37874110705091,0.999828490610683,"ENSG00000133027","Pemt"
"ENSMUSG00000000303",12.71758928869,-0.0141778192781384,0.0119470622959872,-1.18672012641136,0.235338033551039,0.999828490610683,"ENSG00000039068","Cdh1"
"ENSMUSG00000000305",190.122766680211,-0.049957597386332,0.047316680357199,-1.05581365829548,0.291053356921333,0.999828490610683,"ENSG00000179242","Cdh4"
"ENSMUSG00000000308",3984.75729545859,0.015645600027653,0.0316637224832324,0.494117520008526,0.621223185327091,0.999828490610683,"ENSG00000223572","Ckmt1"
"ENSMUSG00000000317",27.3384984483835,-0.00639631320045371,0.0384415906741221,-0.16639044036124,0.867849696577185,0.999828490610683,"ENSG00000161940","Bcl6b"
"ENSMUSG00000000320",10.0230079997343,-0.0154278284059072,0.0263883840910135,-0.584644681261902,0.558786657438948,0.999828490610683,"ENSG00000108839","Alox12"
"ENSMUSG00000000325",286.984223177532,0.00260630429680054,0.04591330066024,0.0567657793999016,0.954731774045439,0.999828490610683,"ENSG00000099889","Arvcf"
"ENSMUSG00000000326",360.350712244144,-0.00968096197987067,0.0450175757388731,-0.215048496525571,0.829729508201419,0.999828490610683,"ENSG00000093010","Comt"
"ENSMUSG00000000339",778.924816565152,0.0125303902511285,0.0393766451251611,0.31821883787458,0.750318944343815,0.999828490610683,"ENSG00000137996","Rtca"
"ENSMUSG00000000340",400.49057028345,0.0498575077297565,0.0446648687686354,1.11625779061434,0.264311803657308,0.999828490610683,"ENSG00000137992","Dbt"
"ENSMUSG00000000346",1049.41015783945,0.0323618214130867,0.0346208463198007,0.934749575852453,0.349917371283787,0.999828490610683,"ENSG00000183283","Dazap2"
"ENSMUSG00000000355",619.170259601148,-0.00269171644115358,0.0436696690662233,-0.0616381231804549,0.950851016739325,0.999828490610683,"ENSG00000232119","Mcts1"
"ENSMUSG00000000365",36.5584153337246,-0.0031588260215052,0.0374055621236435,-0.0844480297091579,0.932700221450151,0.999828490610683,"ENSG00000132972","Rnf17"
"ENSMUSG00000000374",2885.10265273193,0.000203955163089408,0.0298770878199221,0.00682647399635149,0.994553304096972,0.999828490610683,"ENSG00000160218","Trappc10"
"ENSMUSG00000000378",557.608984246831,0.0434342248271208,0.0398317644289314,1.09044189856608,0.27551853394709,0.999828490610683,"ENSG00000136280","Ccm2"
