"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hsapiens_homolog","gene"
"ENSMUSG00000000001",809.327679353131,0.0177643758512244,0.0233089691589833,0.762126189710881,0.445984693252241,0.999903968208144,"ENSG00000065135","Gnai3"
"ENSMUSG00000000028",49.9197633848032,0.0290943161634779,0.0321986504593614,0.903588061872297,0.366213873853226,0.999903968208144,"ENSG00000093009","Cdc45"
"ENSMUSG00000000037",17.3642753049658,0.0223575745011181,0.0247935443060447,0.901749835567772,0.36718977317439,0.999903968208144,"ENSG00000102098","Scml2"
"ENSMUSG00000000056",1412.69567569214,0.0101954403090719,0.0205778209175477,0.495457723629901,0.620277057169387,0.999903968208144,"ENSG00000141562","Narf"
"ENSMUSG00000000058",448.122796012464,0.0318254147208479,0.0296591368863174,1.07303913943395,0.28325355560296,0.999903968208144,"ENSG00000105971","Cav2"
"ENSMUSG00000000078",899.762817372921,0.0233048495558066,0.0290938496882695,0.801023233621881,0.423118195577742,0.999903968208144,"ENSG00000067082","Klf6"
"ENSMUSG00000000085",590.705336098174,-0.00138096646754364,0.0294746990006582,-0.0468526062815028,0.962630701287982,0.999903968208144,"ENSG00000010803","Scmh1"
"ENSMUSG00000000088",1524.67059107075,-0.00220417273214947,0.0264640533091581,-0.0832893097062612,0.933621500378316,0.999903968208144,"ENSG00000178741","Cox5a"
"ENSMUSG00000000093",30.0193721571919,0.00121397759750298,0.0305919016725073,0.0396829726539677,0.968345876837372,0.999903968208144,"ENSG00000121068","Tbx2"
"ENSMUSG00000000120",74.2033345598429,0.00750656599011126,0.0302722799759046,0.247968306189232,0.804158929080056,0.999903968208144,"ENSG00000064300","Ngfr"
"ENSMUSG00000000125",101.482020530696,-0.02285448133011,0.0331401155386778,-0.689631914633386,0.490425692124315,0.999903968208144,"ENSG00000108379","Wnt3"
"ENSMUSG00000000126",152.362914941382,0.00159988360426365,0.0153563150544052,0.104184083134235,0.917023265047121,0.999903968208144,"ENSG00000143816","Wnt9a"
"ENSMUSG00000000127",825.635745665128,0.00616437898536345,0.0240125364882083,0.256715028351568,0.797398769310855,0.999903968208144,"ENSG00000151422","Fer"
"ENSMUSG00000000131",1710.0146770617,-0.0427731600723673,0.0241172803489208,-1.7735482381736,0.0761379060853243,0.999903968208144,"ENSG00000169180","Xpo6"
"ENSMUSG00000000134",367.199847464828,-0.00275433497427129,0.0289547879483483,-0.0951253719828539,0.924215245524612,0.999903968208144,"ENSG00000068323","Tfe3"
"ENSMUSG00000000142",448.776155544275,0.0309860728386315,0.0273161498259967,1.13434993716216,0.256647789883007,0.999903968208144,"ENSG00000168646","Axin2"
"ENSMUSG00000000148",404.558727202403,0.0283122244222998,0.0287210369253116,0.985766095281486,0.324247906924972,0.999903968208144,"ENSG00000106009","Brat1"
"ENSMUSG00000000149",1558.84946934117,0.0564305351573132,0.0283858283922156,1.98798267845474,0.046813605714824,0.999903968208144,"ENSG00000146535","Gna12"
"ENSMUSG00000000167",34.7093026026757,0.0211133618652084,0.031957204425022,0.660676121240348,0.508820040503917,0.999903968208144,"ENSG00000150773","Pih1d2"
"ENSMUSG00000000168",2155.0010769164,0.0141408787313278,0.0182379742618176,0.77535358523521,0.438130753733071,0.999903968208144,"ENSG00000150768","Dlat"
"ENSMUSG00000000171",1232.4223301852,0.00366552631029684,0.0269812493481015,0.135854580453472,0.891936242031452,0.999903968208144,"ENSG00000255292","Sdhd"
"ENSMUSG00000000184",853.455504538929,0.024623758167071,0.0322465369858356,0.763609381617847,0.445100056847787,0.999903968208144,"ENSG00000118971","Ccnd2"
"ENSMUSG00000000194",1049.33420576723,0.0265251050581776,0.0232527277012543,1.14073090258339,0.253981922575052,0.999903968208144,"ENSG00000148358","Gpr107"
"ENSMUSG00000000197",3470.92138387981,-0.0258209698213216,0.0185379881725134,-1.39286796285731,0.163659721936893,0.999903968208144,"ENSG00000102452","Nalcn"
"ENSMUSG00000000202",339.691248660641,-0.00816792849391459,0.0320778776927283,-0.25462808269782,0.799010367084663,0.999903968208144,"ENSG00000204347","Btbd17"
"ENSMUSG00000000214",110.832877944232,-0.00096150237538448,0.0112611531142581,-0.0853822308984584,0.931957519260641,0.999903968208144,"ENSG00000180176","Th"
"ENSMUSG00000000223",1095.95271745975,0.0145667080507819,0.0250360234697114,0.581829940701435,0.560681234530936,0.999903968208144,"ENSG00000102385","Drp2"
"ENSMUSG00000000247",416.95416762453,0.0126278332198376,0.0334897605405723,0.377065497513463,0.706124930963324,0.999903968208144,"ENSG00000106689","Lhx2"
"ENSMUSG00000000253",768.478086250453,0.0373473145422251,0.0279055350659904,1.33834791033058,0.180783050706301,0.999903968208144,"ENSG00000137198","Gmpr"
"ENSMUSG00000000263",62.3872435491481,0.0293280076086296,0.0173783873395179,1.68761387553715,0.0914853739154683,0.999903968208144,"ENSG00000145888","Glra1"
"ENSMUSG00000000266",574.738020057628,0.0165099514587153,0.0277225815484879,0.595541632002733,0.551481479106191,0.999903968208144,"ENSG00000080561","Mid2"
"ENSMUSG00000000275",91.0508172182732,0.047826478448449,0.0332273977129928,1.43936876614769,0.150046068885438,0.999903968208144,"ENSG00000121060","Trim25"
"ENSMUSG00000000276",2117.35052560792,-0.0168728448065639,0.0183264364987766,-0.920683342213869,0.357215775562513,0.999903968208144,"ENSG00000153933","Dgke"
"ENSMUSG00000000278",175.35864943199,-0.0342737584386943,0.0314800332418551,-1.08874594176491,0.276265936220928,0.999903968208144,"ENSG00000121064","Scpep1"
"ENSMUSG00000000282",221.603643575496,-0.00803470880986065,0.0334888915880616,-0.239921610684927,0.810391027177937,0.999903968208144,"ENSG00000070444","Mnt"
"ENSMUSG00000000290",75.8002883399406,0.040563436918858,0.0335378740506841,1.20948146139366,0.226477929107799,0.999903968208144,"ENSG00000160255","Itgb2"
"ENSMUSG00000000295",143.843175349914,-0.0338254701937638,0.0315564686192579,-1.07190289895496,0.283763647999024,0.999903968208144,"ENSG00000111906","Hddc2"
"ENSMUSG00000000296",288.78188130556,-0.00865894805653313,0.0324611614787389,-0.26674794314444,0.789663237600957,0.999903968208144,"ENSG00000111907","Tpd52l1"
"ENSMUSG00000000301",29.9520612145415,-0.0182762239007178,0.0315249683720622,-0.579738056673654,0.562091275286425,0.999903968208144,"ENSG00000133027","Pemt"
"ENSMUSG00000000303",62.454371377442,-0.0361269334190336,0.0147841082338836,-2.44363290957478,0.0145402127850798,0.962910795982832,"ENSG00000039068","Cdh1"
"ENSMUSG00000000305",272.009997657998,-0.00455887213322576,0.0326459272558211,-0.139645968622713,0.888939718738384,0.999903968208144,"ENSG00000179242","Cdh4"
"ENSMUSG00000000308",3675.42363928653,0.0171736629001104,0.021183663702592,0.810703150371908,0.417536163746709,0.999903968208144,"ENSG00000223572","Ckmt1"
"ENSMUSG00000000317",33.5710649404899,0.00768256154649038,0.0319584101338559,0.240392482426767,0.81002600552251,0.999903968208144,"ENSG00000161940","Bcl6b"
"ENSMUSG00000000320",11.1131979547242,-0.0118386196789817,0.023052679927399,-0.513546351932429,0.607569195878109,0.999903968208144,"ENSG00000108839","Alox12"
"ENSMUSG00000000325",271.113151704691,0.0210424161855927,0.030541973569196,0.688967140185584,0.490843946384408,0.999903968208144,"ENSG00000099889","Arvcf"
"ENSMUSG00000000326",358.800642948126,0.028931492909409,0.0303680647198811,0.952694653949035,0.340744802821955,0.999903968208144,"ENSG00000093010","Comt"
"ENSMUSG00000000339",711.296033064561,0.0645851631913855,0.0236506350424722,2.73080038127527,0.00631807274364796,0.853958864383385,"ENSG00000137996","Rtca"
"ENSMUSG00000000340",338.991582526773,0.0464583559661965,0.0290109586545528,1.60140712754094,0.109286775114316,0.999903968208144,"ENSG00000137992","Dbt"
"ENSMUSG00000000346",1055.28465380928,0.00651284644551934,0.0214025842465546,0.304301871703544,0.760897919320084,0.999903968208144,"ENSG00000183283","Dazap2"
"ENSMUSG00000000355",494.939474368366,-0.0406247246863352,0.0271067702603737,-1.4986929204813,0.133953314164242,0.999903968208144,"ENSG00000232119","Mcts1"
"ENSMUSG00000000365",35.7561627138667,-0.0315527702852725,0.0277506157711081,-1.13701153680788,0.255533462836109,0.999903968208144,"ENSG00000132972","Rnf17"
"ENSMUSG00000000374",2570.15381083153,0.0204280410349485,0.0185668108314284,1.10024501355772,0.271225382804465,0.999903968208144,"ENSG00000160218","Trappc10"
