"","gene","log2FoldChange","pvalue","padj","hsapiens_homolog"
"ENSMUSG00000052031","Tagap1",-0.58,1.5e-25,6.3e-22,""
"ENSMUSG00000002496","Tsc2",-0.51,1.2e-21,2.9e-18,"ENSG00000103197"
"ENSMUSG00000034681","Rnps1",-0.42,7.9e-22,2.6e-18,"ENSG00000205937"
"ENSMUSG00000024121","Atp6v0c",-0.3,7.4e-07,0.00088,"ENSG00000185883"
"ENSMUSG00000041130","Zfp598",-0.28,3.2e-07,0.00041,"ENSG00000167962"
"ENSMUSG00000044501","Zfp758",-0.27,2.8e-06,0.0031,""
"ENSMUSG00000026247","Ecel1",-0.26,3.2e-05,0.024,"ENSG00000171551"
"ENSMUSG00000036699","Zcchc12",-0.26,2.5e-05,0.02,"ENSG00000166707"
"ENSMUSG00000059493","Nhs",-0.26,1.8e-05,0.015,"ENSG00000188158"
"ENSMUSG00000027875","Hmgcs2",-0.25,9.6e-05,0.057,"ENSG00000134240"
"ENSMUSG00000021250","Fos",-0.24,0.00016,0.076,"ENSG00000170345"
"ENSMUSG00000046711","Hmga1",-0.24,0.00013,0.066,"ENSG00000137309"
"ENSMUSG00000048721","Fndc9",-0.24,8.3e-05,0.053,"ENSG00000172568"
"ENSMUSG00000017144","Rnd3",-0.23,1.8e-05,0.015,"ENSG00000115963"
"ENSMUSG00000028004","Npy2r",-0.23,0.00018,0.081,"ENSG00000185149"
"ENSMUSG00000036775","Decr2",-0.23,1.4e-05,0.013,"ENSG00000242612"
"ENSMUSG00000041380","Htr2c",-0.23,0.00015,0.076,"ENSG00000147246"
"ENSMUSG00000051527","Usp29",-0.23,5.8e-05,0.042,"ENSG00000131864"
"ENSMUSG00000062753","AI413582",-0.23,9.9e-05,0.057,""
"ENSMUSG00000019986","Ahi1",-0.21,9.1e-05,0.057,"ENSG00000135541"
"ENSMUSG00000026360","Rgs2",-0.21,0.00011,0.062,"ENSG00000116741"
"ENSMUSG00000065590","Mir212",-0.21,0.00012,0.065,""
"ENSMUSG00000047507","Baiap3",-0.19,0.00011,0.059,"ENSG00000007516"
"ENSMUSG00000044533","Rps2",-0.13,0.00016,0.076,""
