"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hsapiens_homolog","gene"
"ENSMUSG00000000001",809.327679353131,0.0177640958390339,0.0233085174701849,0.762128945427649,0.445983048701878,0.99990440798358,"ENSG00000065135","Gnai3"
"ENSMUSG00000000028",49.9197633848032,0.0290919364763474,0.0321960355316531,0.903587537904972,0.366214151792462,0.99990440798358,"ENSG00000093009","Cdc45"
"ENSMUSG00000000037",17.3642753049658,0.0223551264636573,0.024790874761397,0.901748190768465,0.367190647109965,0.99990440798358,"ENSG00000102098","Scml2"
"ENSMUSG00000000056",1412.69567569214,0.01019529247852,0.0205774986669544,0.495458298577984,0.620276651414573,0.99990440798358,"ENSG00000141562","Narf"
"ENSMUSG00000000058",448.122796012464,0.0318243912031107,0.0296581654987966,1.0730397739672,0.283253270915628,0.99990440798358,"ENSG00000105971","Cav2"
"ENSMUSG00000000078",899.762817372921,0.0233041311372607,0.029092964297394,0.801022917398214,0.423118378642404,0.99990440798358,"ENSG00000067082","Klf6"
"ENSMUSG00000000085",590.705336098174,-0.00138092247474773,0.029473760487381,-0.0468526055689081,0.962630701855927,0.99990440798358,"ENSG00000010803","Scmh1"
"ENSMUSG00000000088",1524.67059107075,-0.00220412374825913,0.026463430251922,-0.0832894196737422,0.933621412940769,0.99990440798358,"ENSG00000178741","Cox5a"
"ENSMUSG00000000093",30.0193721571919,0.00121386728320801,0.0305891614043062,0.0396829212531837,0.968345917816986,0.99990440798358,"ENSG00000121068","Tbx2"
"ENSMUSG00000000120",74.2033345598429,0.00750587457495609,0.0302694874905888,0.247968340306051,0.804158902682933,0.99990440798358,"ENSG00000064300","Ngfr"
"ENSMUSG00000000125",101.482020530696,-0.0228527884714139,0.0331376953492556,-0.689631195849811,0.490426144255836,0.99990440798358,"ENSG00000108379","Wnt3"
"ENSMUSG00000000126",152.362914941382,0.00159969243618068,0.0153544802936332,0.104184082143373,0.917023265833435,0.99990440798358,"ENSG00000143816","Wnt9a"
"ENSMUSG00000000127",825.635745665128,0.00616429425573664,0.0240120531917879,0.256716666688245,0.797397504479698,0.99990440798358,"ENSG00000151422","Fer"
"ENSMUSG00000000131",1710.0146770617,-0.0427724031865824,0.0241168148948787,-1.77355108346689,0.076137435069883,0.99990440798358,"ENSG00000169180","Xpo6"
"ENSMUSG00000000134",367.199847464828,-0.00275426094962172,0.0289538937290646,-0.0951257532197449,0.924214942714731,0.99990440798358,"ENSG00000068323","Tfe3"
"ENSMUSG00000000142",448.776155544275,0.0309853135131522,0.0273154214635767,1.13435238604936,0.256646763063582,0.99990440798358,"ENSG00000168646","Axin2"
"ENSMUSG00000000148",404.558727202403,0.0283114130815619,0.0287201728165212,0.985767504340218,0.324247215318059,0.99990440798358,"ENSG00000106009","Brat1"
"ENSMUSG00000000149",1558.84946934117,0.0564289206274394,0.0283850284114535,1.98798182652761,0.0468136999386351,0.99990440798358,"ENSG00000146535","Gna12"
"ENSMUSG00000000167",34.7093026026757,0.0211116474960477,0.0319545807402713,0.660676716982908,0.508819658370194,0.99990440798358,"ENSG00000150773","Pih1d2"
"ENSMUSG00000000168",2155.0010769164,0.0141407464605828,0.0182377274566978,0.775356825249058,0.438128839727116,0.99990440798358,"ENSG00000150768","Dlat"
"ENSMUSG00000000171",1232.4223301852,0.00366543617481915,0.0269805809863586,0.135854605083278,0.891936222560227,0.99990440798358,"ENSG00000255292","Sdhd"
"ENSMUSG00000000184",853.455504538929,0.0246226517988182,0.0322451119768654,0.763608816631926,0.445100393637935,0.99990440798358,"ENSG00000118971","Ccnd2"
"ENSMUSG00000000194",1049.33420576723,0.0265246697534001,0.0232522940518996,1.14073345598488,0.253980859676048,0.99990440798358,"ENSG00000148358","Gpr107"
"ENSMUSG00000000197",3470.92138387981,-0.0258207362099281,0.0185377476966127,-1.39287342952921,0.163658068536083,0.99990440798358,"ENSG00000102452","Nalcn"
"ENSMUSG00000000202",339.691248660641,-0.00816755998318995,0.0320764814964324,-0.254627677418371,0.799010680136188,0.99990440798358,"ENSG00000204347","Btbd17"
"ENSMUSG00000000214",110.832877944232,-0.000961384482730108,0.0112597720607569,-0.0853822330987295,0.931957517511466,0.99990440798358,"ENSG00000180176","Th"
"ENSMUSG00000000223",1095.95271745975,0.0145664228700953,0.0250354905384297,0.581830935077372,0.560680564676346,0.99990440798358,"ENSG00000102385","Drp2"
"ENSMUSG00000000247",416.95416762453,0.012627107622802,0.0334877517847365,0.377066448173967,0.706124224496471,0.99990440798358,"ENSG00000106689","Lhx2"
"ENSMUSG00000000253",768.478086250453,0.0373463188179375,0.0279047739142787,1.33834873318316,0.180782782596234,0.99990440798358,"ENSG00000137198","Gmpr"
"ENSMUSG00000000263",62.3872435491481,0.0293245459062981,0.017376347717923,1.6876127470706,0.091485590678395,0.99990440798358,"ENSG00000145888","Glra1"
"ENSMUSG00000000266",574.738020057628,0.0165095124814259,0.0277218296554914,0.595541949669095,0.551481266832743,0.99990440798358,"ENSG00000080561","Mid2"
"ENSMUSG00000000275",91.0508172182732,0.0478229717733119,0.0332250203837513,1.43936621320177,0.150046791822736,0.99990440798358,"ENSG00000121060","Trim25"
"ENSMUSG00000000276",2117.35052560792,-0.01687269987336,0.0183261869166455,-0.920687972359089,0.35721335750185,0.99990440798358,"ENSG00000153933","Dgke"
"ENSMUSG00000000278",175.35864943199,-0.0342724270301752,0.0314787425073174,-1.08874828853816,0.27626490105182,0.99990440798358,"ENSG00000121064","Scpep1"
"ENSMUSG00000000282",221.603643575496,-0.00803416209735795,0.0334867234889853,-0.239920818171435,0.810391641572347,0.99990440798358,"ENSG00000070444","Mnt"
"ENSMUSG00000000290",75.8002883399406,0.0405608829250988,0.0335357271796759,1.20948273188722,0.226477441288081,0.99990440798358,"ENSG00000160255","Itgb2"
"ENSMUSG00000000295",143.843175349914,-0.0338241572329972,0.0315551485047228,-1.07190613373076,0.283762194928935,0.99990440798358,"ENSG00000111906","Hddc2"
"ENSMUSG00000000296",288.78188130556,-0.00865854375093003,0.0324596645304808,-0.266747789176914,0.789663356155502,0.99990440798358,"ENSG00000111907","Tpd52l1"
