"","gene","log2FoldChange","pvalue","padj","hsapiens_homolog"
"ENSMUSG00000080242","Gm15487",1.3,1.6e-153,2.7e-149,""
"ENSMUSG00000033450","Tagap",0.62,1.6e-44,8.8e-41,"ENSG00000164691"
"ENSMUSG00000096403","Gm9825",0.59,3.9e-45,3.3e-41,""
"ENSMUSG00000078249","Hmga1-rs1",0.48,3.1e-33,1.3e-29,"ENSG00000137309"
"ENSMUSG00000061897","Gm14292",0.33,1.2e-21,3.4e-18,""
"ENSMUSG00000024114","Prss41",0.32,8.4e-17,2e-13,""
"ENSMUSG00000073437","D330041H03Rik",0.31,2.7e-10,4e-07,""
"ENSMUSG00000059142","Zfp945",0.28,1.4e-10,2.4e-07,""
"ENSMUSG00000096255","Dynlt1b",0.26,7.2e-08,1e-04,"ENSG00000146425"
"ENSMUSG00000035868","3110052M02Rik",0.25,2.7e-07,0.00032,""
"ENSMUSG00000036552","Ermard",0.23,3.7e-06,0.0041,"ENSG00000130023"
"ENSMUSG00000047786","Lix1",0.21,1.7e-05,0.018,"ENSG00000145721"
"ENSMUSG00000096433","Gm4944",0.19,2.6e-05,0.025,""
"ENSMUSG00000078868","Gm14412",0.18,0.00013,0.08,"ENSG00000214189"
"ENSMUSG00000040667","Nup88",0.14,9.7e-05,0.071,"ENSG00000108559"
"ENSMUSG00000041459","Tardbp",0.12,0.00011,0.074,"ENSG00000120948"
