"","gene","log2FoldChange","pvalue","padj","hsapiens_homolog"
"ENSMUSG00000002496","Tsc2",-0.55,7.5e-86,3.2e-82,"ENSG00000103197"
"ENSMUSG00000052031","Tagap1",-0.47,6.7e-54,1.4e-50,""
"ENSMUSG00000024121","Atp6v0c",-0.35,1.9e-25,2.7e-22,"ENSG00000185883"
"ENSMUSG00000034681","Rnps1",-0.34,3.5e-41,6.5e-38,"ENSG00000205937"
"ENSMUSG00000046711","Hmga1",-0.28,2.6e-18,3.1e-15,"ENSG00000137309"
"ENSMUSG00000041130","Zfp598",-0.27,1.8e-20,2.3e-17,"ENSG00000167962"
"ENSMUSG00000023908","Pkmyt1",-0.22,4.8e-10,3.9e-07,"ENSG00000127564"
"ENSMUSG00000062753","AI413582",-0.22,2.5e-12,2.4e-09,""
"ENSMUSG00000036775","Decr2",-0.21,5.8e-14,6.1e-11,"ENSG00000242612"
"ENSMUSG00000044501","Zfp758",-0.21,5.7e-12,5.1e-09,""
"ENSMUSG00000073471","Rsph3a",-0.2,8.7e-09,6.4e-06,"ENSG00000130363"
"ENSMUSG00000045903","Npas4",-0.17,1.4e-06,8e-04,"ENSG00000174576"
"ENSMUSG00000085609","1700016P03Rik",-0.17,2.5e-07,0.00015,""
"ENSMUSG00000021250","Fos",-0.16,5.5e-06,0.0026,"ENSG00000170345"
"ENSMUSG00000055945","Prr18",-0.16,4e-06,0.0021,"ENSG00000176381"
"ENSMUSG00000024160","Spsb3",-0.15,6.7e-07,0.00039,"ENSG00000162032"
"ENSMUSG00000071256","Zfp213",-0.15,6.4e-06,0.0029,"ENSG00000085644"
"ENSMUSG00000022602","Arc",-0.14,1.9e-05,0.008,"ENSG00000198576"
"ENSMUSG00000052837","Junb",-0.14,3e-05,0.011,"ENSG00000171223"
"ENSMUSG00000095990","Zfp97",-0.14,8.4e-05,0.028,"ENSG00000214189"
"ENSMUSG00000097796","Gm16702",-0.14,6.6e-06,0.0029,""
"ENSMUSG00000021541","Trpc7",-0.13,0.00029,0.069,"ENSG00000069018"
"ENSMUSG00000023034","Nr4a1",-0.13,0.00031,0.073,"ENSG00000123358"
"ENSMUSG00000027932","Slc27a3",-0.13,0.00026,0.066,"ENSG00000143554"
"ENSMUSG00000065590","Mir212",-0.13,4.8e-06,0.0024,""
"ENSMUSG00000096696","Zfp960",-0.13,0.00025,0.063,"ENSG00000214189"
"ENSMUSG00000104951","Gm43413",-0.13,9.2e-05,0.03,""
"ENSMUSG00000015127","Unkl",-0.12,3.3e-05,0.012,"ENSG00000059145"
"ENSMUSG00000023873","1700010I14Rik",-0.12,5.4e-05,0.02,"ENSG00000112539"
"ENSMUSG00000024132","Eci1",-0.12,1e-04,0.031,"ENSG00000167969"
"ENSMUSG00000024190","Dusp1",-0.12,0.00049,0.099,"ENSG00000120129"
"ENSMUSG00000036820","Amdhd2",-0.12,0.00012,0.035,"ENSG00000162066"
"ENSMUSG00000038132","Rbm24",-0.12,9.4e-05,0.03,"ENSG00000112183"
"ENSMUSG00000039474","Wfs1",-0.12,0.00034,0.076,"ENSG00000109501"
"ENSMUSG00000055866","Per2",-0.12,9.7e-05,0.03,"ENSG00000132326"
"ENSMUSG00000063632","Sox11",-0.12,0.00033,0.075,"ENSG00000176887"
"ENSMUSG00000067722","BC003965",-0.12,9.4e-06,0.004,"ENSG00000174109"
"ENSMUSG00000025579","Gaa",-0.11,0.00013,0.039,"ENSG00000171298"
"ENSMUSG00000031155","Pim2",-0.11,0.00018,0.052,"ENSG00000102096"
"ENSMUSG00000035435","Abca17",-0.11,5.9e-06,0.0027,""
"ENSMUSG00000037771","Slc32a1",-0.11,0.00035,0.078,"ENSG00000101438"
"ENSMUSG00000044533","Rps2",-0.11,1.4e-07,9.6e-05,""
"ENSMUSG00000047098","Rnf31",-0.1,0.00027,0.067,"ENSG00000259529"
"ENSMUSG00000016946","Kctd5",-0.098,0.00022,0.058,"ENSG00000167977"
"ENSMUSG00000049516","Spty2d1",-0.095,0.00028,0.067,"ENSG00000179119"
"ENSMUSG00000035521","Gnptg",-0.092,7.7e-05,0.027,"ENSG00000090581"
"ENSMUSG00000040097","Flywch1",-0.081,0.00037,0.08,"ENSG00000059122"
"ENSMUSG00000003402","Prkcsh",-0.076,0.00025,0.063,"ENSG00000130175"
"ENSMUSG00000024163","Mapk8ip3",-0.073,8.5e-05,0.028,"ENSG00000138834"
"ENSMUSG00000032178","Ilf3",-0.066,0.00037,0.08,"ENSG00000129351"
