"","gene","log2FoldChange","pvalue","padj","hsapiens_homolog"
"ENSMUSG00000002496","Tsc2",-0.59,5.8e-53,3.3e-49,"ENSG00000103197"
"ENSMUSG00000024121","Atp6v0c",-0.43,5e-23,1.4e-19,"ENSG00000185883"
"ENSMUSG00000052031","Tagap1",-0.36,5.1e-16,9.5e-13,""
"ENSMUSG00000041130","Zfp598",-0.28,3e-11,5e-08,"ENSG00000167962"
"ENSMUSG00000046711","Hmga1",-0.27,1.4e-09,1.8e-06,"ENSG00000137309"
"ENSMUSG00000034681","Rnps1",-0.26,9.3e-11,1.3e-07,"ENSG00000205937"
"ENSMUSG00000073471","Rsph3a",-0.22,1e-06,0.001,"ENSG00000130363"
"ENSMUSG00000022602","Arc",-0.2,3.8e-06,0.0034,"ENSG00000198576"
"ENSMUSG00000036775","Decr2",-0.19,6.8e-07,0.00071,"ENSG00000242612"
"ENSMUSG00000044501","Zfp758",-0.19,1.6e-05,0.013,""
"ENSMUSG00000055945","Prr18",-0.19,1.7e-05,0.013,"ENSG00000176381"
"ENSMUSG00000067722","BC003965",-0.17,5.1e-05,0.035,"ENSG00000174109"
"ENSMUSG00000097796","Gm16702",-0.17,2e-05,0.014,""
"ENSMUSG00000023908","Pkmyt1",-0.15,9.6e-05,0.06,"ENSG00000127564"
