"","gene","log2FoldChange","pvalue","padj","hsapiens_homolog"
"ENSMUSG00000080242","Gm15487",1.8,0,7.2e-224,""
"ENSMUSG00000096403","Gm9825",1.1,8.6e-228,7.2e-224,""
"ENSMUSG00000033450","Tagap",0.86,2.9e-133,1.6e-129,"ENSG00000164691"
"ENSMUSG00000061897","Gm14292",0.54,2.6e-73,8.7e-70,""
"ENSMUSG00000078249","Hmga1-rs1",0.52,7.2e-70,2e-66,"ENSG00000137309"
"ENSMUSG00000024114","Prss41",0.5,4.7e-59,1.1e-55,""
"ENSMUSG00000073437","D330041H03Rik",0.41,2.4e-31,4e-28,""
"ENSMUSG00000035868","3110052M02Rik",0.37,1.1e-27,1.7e-24,""
"ENSMUSG00000036552","Ermard",0.25,7.7e-13,7.6e-10,"ENSG00000130023"
"ENSMUSG00000067928","Zfp760",0.24,4e-15,4.4e-12,""
"ENSMUSG00000096255","Dynlt1b",0.19,1.1e-08,7.9e-06,"ENSG00000146425"
"ENSMUSG00000059142","Zfp945",0.18,3.1e-09,2.3e-06,""
"ENSMUSG00000019320","Noxo1",0.17,1.6e-06,0.00085,"ENSG00000196408"
"ENSMUSG00000096780","Tmem181b-ps",0.17,2.4e-07,0.00015,""
"ENSMUSG00000024130","Abca3",0.16,9.3e-11,7.8e-08,"ENSG00000167972"
"ENSMUSG00000075602","Ly6a",0.16,5e-06,0.0024,""
"ENSMUSG00000045744","Bricd5",0.15,6.7e-07,0.00039,"ENSG00000182685"
"ENSMUSG00000025608","Podxl",0.14,8e-05,0.027,"ENSG00000128567"
"ENSMUSG00000037820","Tgm2",0.14,6.9e-05,0.025,"ENSG00000198959"
"ENSMUSG00000039183","Nubp2",0.14,1.1e-05,0.0046,"ENSG00000095906"
"ENSMUSG00000006154","Eps8l1",0.13,2.7e-05,0.01,"ENSG00000131037"
"ENSMUSG00000027803","Wwtr1",0.13,0.00031,0.073,"ENSG00000018408"
"ENSMUSG00000051236","Msrb3",0.13,2e-04,0.053,"ENSG00000174099"
"ENSMUSG00000096433","Gm4944",0.13,2.5e-05,0.01,""
"ENSMUSG00000020377","Ltc4s",0.12,0.00019,0.052,"ENSG00000213316"
"ENSMUSG00000023911","Flywch2",0.12,0.00045,0.095,"ENSG00000162076"
"ENSMUSG00000079018","Ly6c1",0.12,0.00048,0.099,""
"ENSMUSG00000096768","Erdr1",0.12,0.00049,0.099,""
"ENSMUSG00000104379","Gm37509",0.12,5e-04,0.099,""
"ENSMUSG00000031170","Slc38a5",0.11,0.00014,0.041,"ENSG00000017483"
"ENSMUSG00000048347","Pcdhb18",0.11,0.00035,0.078,"ENSG00000120324"
"ENSMUSG00000078878","Gm14305",0.11,0.00019,0.052,"ENSG00000214189"
"ENSMUSG00000024011","Pi16",0.097,0.00041,0.087,"ENSG00000164530"
"ENSMUSG00000003974","Grm3",0.096,0.00019,0.052,"ENSG00000198822"
