"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hsapiens_homolog","gene"
"ENSMUSG00000000001",809.692164900854,-0.0013230632038304,0.0388257420022046,-0.0340769586259363,0.972815782164526,0.999894868951029,"ENSG00000065135","Gnai3"
"ENSMUSG00000000028",45.0160956561391,-0.010431816735686,0.038596140976614,-0.270281340873089,0.786943819169332,0.999894868951029,"ENSG00000093009","Cdc45"
"ENSMUSG00000000037",19.5405804049005,0.0705252752048011,0.0329302504604385,2.14165620421042,0.032221157397722,0.999894868951029,"ENSG00000102098","Scml2"
"ENSMUSG00000000056",1360.86556307286,-0.0310601395532119,0.0344332387488982,-0.902039444494769,0.367035914703272,0.999894868951029,"ENSG00000141562","Narf"
"ENSMUSG00000000058",611.648755970013,0.0078022074772605,0.0407272228919111,0.191572293008226,0.848077247472731,0.999894868951029,"ENSG00000105971","Cav2"
"ENSMUSG00000000078",836.536615693401,0.0514054660531605,0.042043176635229,1.22268273159185,0.221449551726563,0.999894868951029,"ENSG00000067082","Klf6"
"ENSMUSG00000000085",520.6068299008,0.0124757808183721,0.043563015773707,0.286384691160477,0.77458349859219,0.999894868951029,"ENSG00000010803","Scmh1"
"ENSMUSG00000000088",1527.24113014042,-0.0255375490987441,0.0394115837892297,-0.647970638158492,0.517003941221588,0.999894868951029,"ENSG00000178741","Cox5a"
"ENSMUSG00000000093",32.0282259472639,0.0820812237301827,0.0369422605756822,2.22187874946163,0.0262915008963672,0.999894868951029,"ENSG00000121068","Tbx2"
"ENSMUSG00000000120",51.0032521512194,0.00681019591515349,0.0387171324580528,0.175896185558986,0.860375502113931,0.999894868951029,"ENSG00000064300","Ngfr"
"ENSMUSG00000000125",30.9033111986234,0.0850470757366631,0.036854169632831,2.30766495579649,0.0210177786520604,0.999894868951029,"ENSG00000108379","Wnt3"
"ENSMUSG00000000126",181.042332757104,0.00690951010003273,0.0453874894356716,0.152233802440774,0.879002534167695,0.999894868951029,"ENSG00000143816","Wnt9a"
"ENSMUSG00000000127",918.693993642231,0.0620711620671821,0.0387143927235673,1.60330971766468,0.108866292099248,0.999894868951029,"ENSG00000151422","Fer"
"ENSMUSG00000000131",1822.93352873526,-0.0274904082227084,0.0359709296572488,-0.764239581368968,0.444724482980818,0.999894868951029,"ENSG00000169180","Xpo6"
"ENSMUSG00000000134",362.055303384404,-0.0733247043153081,0.0428006911221487,-1.71316636233857,0.0866819380680368,0.999894868951029,"ENSG00000068323","Tfe3"
"ENSMUSG00000000142",460.300050215964,-0.0192256648925499,0.0424942971845671,-0.452429294430881,0.65095974710215,0.999894868951029,"ENSG00000168646","Axin2"
"ENSMUSG00000000148",428.11501964725,0.0106251638798392,0.0431192374091634,0.246413538788171,0.805362126860907,0.999894868951029,"ENSG00000106009","Brat1"
"ENSMUSG00000000149",1743.47505495569,0.0197667769711905,0.0375810687705956,0.525976977713217,0.598904202985879,0.999894868951029,"ENSG00000146535","Gna12"
"ENSMUSG00000000167",41.8864142097697,-0.00122662481005417,0.0399187526939008,-0.0307280345019794,0.97548643341546,0.999894868951029,"ENSG00000150773","Pih1d2"
"ENSMUSG00000000168",2651.37846737156,0.00228091931128243,0.0307262855831521,0.0742334866708755,0.940824600838209,0.999894868951029,"ENSG00000150768","Dlat"
"ENSMUSG00000000171",1275.22032176869,-0.0241239850210235,0.0393036299092639,-0.613785166324738,0.53935730074759,0.999894868951029,"ENSG00000255292","Sdhd"
"ENSMUSG00000000184",1379.22215965479,-0.0584533512999412,0.0375984856298605,-1.55467302261552,0.120023962738662,0.999894868951029,"ENSG00000118971","Ccnd2"
"ENSMUSG00000000194",1079.74990098435,0.0219044439896436,0.0350907180173759,0.62422330539937,0.532480943498837,0.999894868951029,"ENSG00000148358","Gpr107"
"ENSMUSG00000000197",3819.89108803085,0.030230361204159,0.0282992512557828,1.06823890607288,0.285412759014856,0.999894868951029,"ENSG00000102452","Nalcn"
"ENSMUSG00000000202",207.832553875102,0.0012044126237095,0.0452344359112252,0.0266260117860919,0.978758026206534,0.999894868951029,"ENSG00000204347","Btbd17"
"ENSMUSG00000000214",11.8385175843632,0.0105030067680715,0.0251258044982194,0.418016735297601,0.675934881459913,0.999894868951029,"ENSG00000180176","Th"
