"","gene","log2FoldChange","pvalue","padj","hsapiens_homolog"
"ENSMUSG00000080242","Gm15487",2,3.4e-226,5.7e-222,""
"ENSMUSG00000096403","Gm9825",1.2,2.2e-79,1.9e-75,""
"ENSMUSG00000033450","Tagap",0.8,8.5e-38,4.7e-34,"ENSG00000164691"
"ENSMUSG00000024114","Prss41",0.55,1e-21,2.9e-18,""
"ENSMUSG00000078249","Hmga1-rs1",0.48,1.1e-20,2.4e-17,"ENSG00000137309"
"ENSMUSG00000073437","D330041H03Rik",0.41,6.7e-11,1.1e-07,""
"ENSMUSG00000061897","Gm14292",0.37,7.9e-15,1.5e-11,""
"ENSMUSG00000035868","3110052M02Rik",0.35,8.7e-09,1.3e-05,""
"ENSMUSG00000071984","Fndc1",0.28,6.5e-06,0.0069,"ENSG00000164694"
"ENSMUSG00000067928","Zfp760",0.25,1e-05,0.01,""
"ENSMUSG00000023805","Synj2",0.23,2.6e-07,0.00037,"ENSG00000078269"
"ENSMUSG00000027803","Wwtr1",0.23,0.00017,0.078,"ENSG00000018408"
"ENSMUSG00000039183","Nubp2",0.23,6e-05,0.042,"ENSG00000095906"
"ENSMUSG00000102498","Gm19445",0.23,0.00023,0.1,""
"ENSMUSG00000024130","Abca3",0.21,6.9e-05,0.046,"ENSG00000167972"
