"","gene","log2FoldChange","pvalue","padj","hsapiens_homolog"
"ENSMUSG00000056999","Ide",-0.42,2.9e-11,8.6e-08,"ENSG00000119912"
"ENSMUSG00000019970","Sgk1",-0.41,3e-12,1.8e-08,"ENSG00000118515"
"ENSMUSG00000040565","Btaf1",-0.32,2.7e-09,5.4e-06,"ENSG00000095564"
"ENSMUSG00000020994","Pnn",-0.21,5.1e-05,0.039,"ENSG00000100941"
"ENSMUSG00000027881","Prpf38b",-0.19,4.2e-05,0.038,"ENSG00000134186"
"ENSMUSG00000064351","mt-Co1",-0.19,3e-04,0.099,"ENSG00000198804"
"ENSMUSG00000068882","Ssb",-0.19,4.4e-05,0.038,"ENSG00000138385"
"ENSMUSG00000021893","Capn7",-0.17,0.00026,0.099,"ENSG00000131375"
"ENSMUSG00000028484","Psip1",-0.17,8.5e-05,0.052,"ENSG00000164985"
"ENSMUSG00000006010","BC003331",-0.16,0.00031,0.099,"ENSG00000157181"
"ENSMUSG00000021413","Prpf4b",-0.16,1.6e-05,0.024,"ENSG00000112739"
"ENSMUSG00000021134","Srsf5",-0.15,0.00019,0.096,"ENSG00000100650"
"ENSMUSG00000037608","Bclaf1",-0.15,3e-05,0.036,"ENSG00000029363"
"ENSMUSG00000007850","Hnrnph1",-0.14,0.00024,0.099,"ENSG00000169045"
"ENSMUSG00000028180","Zranb2",-0.12,0.00013,0.073,"ENSG00000132485"
