"","gene","log2FoldChange","pvalue","padj","hsapiens_homolog"
"ENSMUSG00000002496","Tsc2",-0.43,1e-21,3.4e-18,"ENSG00000103197"
"ENSMUSG00000052031","Tagap1",-0.35,6.8e-14,1.4e-10,""
"ENSMUSG00000034681","Rnps1",-0.3,1.7e-12,3.2e-09,"ENSG00000205937"
"ENSMUSG00000024121","Atp6v0c",-0.25,1.4e-07,0.00018,"ENSG00000185883"
"ENSMUSG00000041130","Zfp598",-0.2,2.2e-05,0.022,"ENSG00000167962"
"ENSMUSG00000046711","Hmga1",-0.2,3.6e-05,0.032,"ENSG00000137309"
"ENSMUSG00000024190","Dusp1",-0.19,0.00012,0.078,"ENSG00000120129"
"ENSMUSG00000062753","AI413582",-0.19,8e-05,0.064,""
"ENSMUSG00000029826","Zc3hav1",-0.18,8.9e-05,0.068,"ENSG00000105939"
"ENSMUSG00000024160","Spsb3",-0.17,0.00016,0.095,"ENSG00000162032"
"ENSMUSG00000046447","Camk2n1",-0.14,0.00011,0.077,"ENSG00000162545"
"ENSMUSG00000051495","Irf2bp2",-0.14,7.8e-05,0.064,"ENSG00000168264"
