"","gene","log2FoldChange","pvalue","padj","hsapiens_homolog"
"ENSMUSG00000056999","Ide",-0.36,1.5e-27,2.5e-23,"ENSG00000119912"
"ENSMUSG00000080242","Gm15487",-0.36,2.5e-26,2.1e-22,""
"ENSMUSG00000019970","Sgk1",-0.31,2.5e-21,1.4e-17,"ENSG00000118515"
"ENSMUSG00000040565","Btaf1",-0.27,2.5e-20,1e-16,"ENSG00000095564"
"ENSMUSG00000096403","Gm9825",-0.24,5.7e-13,1.9e-09,""
"ENSMUSG00000033450","Tagap",-0.22,1.4e-10,3.4e-07,"ENSG00000164691"
"ENSMUSG00000047632","Fgfbp3",-0.22,6.5e-12,1.8e-08,"ENSG00000174721"
"ENSMUSG00000078249","Hmga1-rs1",-0.17,4.3e-10,9e-07,"ENSG00000137309"
"ENSMUSG00000021025","Nfkbia",-0.16,1.9e-07,0.00027,"ENSG00000100906"
"ENSMUSG00000024114","Prss41",-0.16,3.5e-08,5.8e-05,""
"ENSMUSG00000061897","Gm14292",-0.16,2.9e-08,5.4e-05,""
"ENSMUSG00000029641","Rasl11a",-0.14,3.9e-05,0.038,"ENSG00000122035"
"ENSMUSG00000034936","Arl4d",-0.14,2.7e-05,0.03,"ENSG00000175906"
"ENSMUSG00000002910","Arrdc2",-0.13,0.00012,0.092,"ENSG00000105643"
"ENSMUSG00000038393","Txnip",-0.13,1e-04,0.088,"ENSG00000265972"
"ENSMUSG00000042286","Stab1",-0.13,5.3e-05,0.049,"ENSG00000010327"
"ENSMUSG00000030834","Abcc6",-0.12,1e-04,0.088,"ENSG00000091262"
"ENSMUSG00000031486","Adgra2",-0.12,0.00013,0.092,"ENSG00000020181"
"ENSMUSG00000033863","Klf9",-0.088,0.00012,0.092,"ENSG00000119138"
"ENSMUSG00000047420","Fam180a",-0.088,3.5e-05,0.036,"ENSG00000189320"
