"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hsapiens_homolog","gene"
"ENSMUSG00000000001",809.327679353131,-0.0166708725462428,0.0237187897486913,-0.702855108666014,0.48214604962461,0.989047149610022,"ENSG00000065135","Gnai3"
"ENSMUSG00000000028",49.9197633848032,-0.0121881846708309,0.0346635514214924,-0.35161384713956,0.72512787904891,0.993915895754735,"ENSG00000093009","Cdc45"
"ENSMUSG00000000037",17.3642753049658,-0.0206037205529639,0.0274442805845997,-0.750747336569851,0.452804728882492,0.983286765492429,"ENSG00000102098","Scml2"
"ENSMUSG00000000056",1412.69567569214,-0.0605916756981237,0.0208852305996429,-2.90117341099216,0.00371768081148983,0.346300363071849,"ENSG00000141562","Narf"
"ENSMUSG00000000058",448.122796012464,-0.00170766980561214,0.0304876054711917,-0.0560119359726611,0.955332298558866,0.99950756493508,"ENSG00000105971","Cav2"
"ENSMUSG00000000078",899.762817372921,0.0292671386541718,0.0299049802641642,0.978671057316938,0.327742537150501,0.960936462988249,"ENSG00000067082","Klf6"
"ENSMUSG00000000085",590.705336098174,-0.00184452577876915,0.0303090612925608,-0.0608572387301839,0.951472904837901,0.99950756493508,"ENSG00000010803","Scmh1"
"ENSMUSG00000000088",1524.67059107075,-0.0225477779893243,0.0270790030875331,-0.832666472854945,0.405032858167484,0.97080581826186,"ENSG00000178741","Cox5a"
"ENSMUSG00000000093",30.0193721571919,0.0367034852009728,0.0331367218977098,1.10763778367315,0.268018278799634,0.956253366092405,"ENSG00000121068","Tbx2"
"ENSMUSG00000000120",74.2033345598429,-0.0496246967610055,0.0329201839205695,-1.50742465111194,0.13170184406475,0.91234241122989,"ENSG00000064300","Ngfr"
"ENSMUSG00000000125",101.482020530696,0.100277865853427,0.035323660508486,2.83882996297444,0.00452792781073735,0.37944035053979,"ENSG00000108379","Wnt3"
"ENSMUSG00000000126",152.362914941382,-0.000807452172655021,0.0171706280988514,-0.0470251972150647,0.962493145266302,0.99950756493508,"ENSG00000143816","Wnt9a"
"ENSMUSG00000000127",825.635745665128,0.0219451385218965,0.0245243629425238,0.894830115396998,0.37087790907044,0.967335536401678,"ENSG00000151422","Fer"
"ENSMUSG00000000131",1710.0146770617,-0.0319590087935988,0.0246528382785676,-1.29636224569659,0.194850712824603,0.923294121432655,"ENSG00000169180","Xpo6"
"ENSMUSG00000000134",367.199847464828,-0.0202989874467901,0.0296982884622733,-0.683506979621958,0.494286541343259,0.989047149610022,"ENSG00000068323","Tfe3"
"ENSMUSG00000000142",448.776155544275,-0.0157505513755122,0.0279250933257444,-0.564028602940838,0.572734666283139,0.989047149610022,"ENSG00000168646","Axin2"
"ENSMUSG00000000148",404.558727202403,0.0112361025946985,0.0294562131818358,0.381451021057494,0.702868608237035,0.991539550103253,"ENSG00000106009","Brat1"
"ENSMUSG00000000149",1558.84946934117,0.0248910744617988,0.0291284635497718,0.854527545514628,0.392812753736317,0.970652274643257,"ENSG00000146535","Gna12"
"ENSMUSG00000000167",34.7093026026757,-0.0223539602824889,0.0344171528542504,-0.649500566684101,0.516014880281158,0.989047149610022,"ENSG00000150773","Pih1d2"
"ENSMUSG00000000168",2155.0010769164,-0.0045700880644268,0.0185560907766987,-0.246285067227929,0.805461568627845,0.996082579783814,"ENSG00000150768","Dlat"
"ENSMUSG00000000171",1232.4223301852,0.00358284399825707,0.027630005643037,0.129672213771696,0.896825767117865,0.996288733389951,"ENSG00000255292","Sdhd"
"ENSMUSG00000000184",853.455504538929,-0.017860660830211,0.0334393265174163,-0.534121427981169,0.593257525436183,0.989047149610022,"ENSG00000118971","Ccnd2"
"ENSMUSG00000000194",1049.33420576723,-0.00695747517565895,0.023688383717488,-0.293708311155166,0.768980802904816,0.994690409776885,"ENSG00000148358","Gpr107"
"ENSMUSG00000000197",3470.92138387981,-0.0171377670836829,0.0189053740311053,-0.906502408018267,0.364669990913278,0.966950532365765,"ENSG00000102452","Nalcn"
"ENSMUSG00000000202",339.691248660641,-0.00438573691384495,0.0332258900711778,-0.131997574916719,0.894986209901673,0.996288733389951,"ENSG00000204347","Btbd17"
"ENSMUSG00000000214",110.832877944232,0.00101260534050143,0.0126391143180309,0.0801167957676319,0.936144364596355,0.998790593223011,"ENSG00000180176","Th"
"ENSMUSG00000000223",1095.95271745975,-1.88601237703717e-05,0.0256420323229963,-0.000735515950249294,0.999413143231985,0.99975774842902,"ENSG00000102385","Drp2"
"ENSMUSG00000000247",416.95416762453,-0.00209169003139367,0.0350934607552821,-0.05960341289734,0.952471500104765,0.99950756493508,"ENSG00000106689","Lhx2"
"ENSMUSG00000000253",768.478086250453,0.0175647786965082,0.0286148403624593,0.61383458632018,0.539324639722509,0.989047149610022,"ENSG00000137198","Gmpr"
"ENSMUSG00000000263",62.3872435491481,-0.0262803764663454,0.0194949066365524,-1.34806372537689,0.177637887285712,0.916550287828678,"ENSG00000145888","Glra1"
